latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.0105443,37.306087,988.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,26.3,19.1,44867.53
2011-01-02,26.8,18.1,44862.21
2011-01-03,27.8,17.2,44856.37
2011-01-04,28.5,18.0,44850.00
2011-01-05,28.7,18.3,44843.14
2011-01-06,29.4,19.6,44835.79
2011-01-07,26.5,19.0,44827.97
2011-01-08,26.6,18.7,44819.70
2011-01-09,27.2,18.4,44810.98
2011-01-10,27.4,17.6,44801.84
2011-01-11,27.1,18.9,44792.29
2011-01-12,26.5,19.6,44782.36
2011-01-13,25.9,18.6,44772.04
2011-01-14,28.4,17.8,44761.36
2011-01-15,26.9,17.9,44750.34
2011-01-16,28.0,19.7,44738.98
2011-01-17,27.7,19.7,44727.31
2011-01-18,27.2,19.3,44715.34
2011-01-19,27.5,18.8,44703.08
2011-01-20,28.4,17.9,44690.55
2011-01-21,27.5,17.6,44677.74
2011-01-22,27.9,18.4,44664.51
2011-01-23,28.9,18.6,44650.86
2011-01-24,28.5,19.3,44636.80
2011-01-25,29.4,19.3,44622.37
2011-01-26,30.3,16.9,44607.57
2011-01-27,30.6,17.8,44592.45
2011-01-28,30.3,19.0,44577.02
2011-01-29,31.5,18.1,44561.30
2011-01-30,31.2,16.7,44545.31
2011-01-31,28.7,19.7,44529.07
2011-02-01,29.0,19.0,44512.61
2011-02-02,30.3,16.2,44495.95
2011-02-03,29.6,18.3,44479.09
2011-02-04,29.6,18.0,44462.08
2011-02-05,29.4,17.1,44444.92
2011-02-06,28.5,18.9,44427.63
2011-02-07,28.7,20.2,44410.24
2011-02-08,29.8,19.4,44392.76
2011-02-09,28.9,19.5,44375.21
2011-02-10,29.7,19.4,44357.57
2011-02-11,28.5,17.8,44339.70
2011-02-12,27.9,19.4,44321.56
2011-02-13,26.7,17.9,44303.19
2011-02-14,28.5,18.4,44284.60
2011-02-15,28.7,18.2,44265.82
2011-02-16,28.5,18.4,44246.85
2011-02-17,27.5,17.6,44227.74
2011-02-18,29.1,17.6,44208.48
2011-02-19,28.0,19.1,44189.11
2011-02-20,28.2,19.8,44169.63
2011-02-21,28.0,19.7,44150.07
2011-02-22,27.6,19.1,44130.44
2011-02-23,27.1,18.4,44110.77
2011-02-24,27.6,18.6,44091.07
2011-02-25,28.5,18.8,44071.35
2011-02-26,27.6,18.9,44051.63
2011-02-27,27.6,19.8,44031.93
2011-02-28,27.5,18.6,44012.27
2011-03-01,28.9,18.8,43992.66
2011-03-02,29.3,18.7,43973.09
2011-03-03,28.6,18.6,43953.39
2011-03-04,27.7,19.2,43933.58
2011-03-05,28.4,19.2,43913.65
2011-03-06,26.3,18.8,43893.62
2011-03-07,27.6,18.3,43873.51
2011-03-08,27.7,19.6,43853.33
2011-03-09,28.4,18.7,43833.10
2011-03-10,27.9,17.2,43812.84
2011-03-11,28.6,15.7,43792.55
2011-03-12,29.3,15.7,43772.25
2011-03-13,28.5,18.4,43751.96
2011-03-14,26.2,19.3,43731.69
2011-03-15,27.9,19.0,43711.45
2011-03-16,27.7,19.3,43691.27
2011-03-17,26.1,19.1,43671.14
2011-03-18,26.7,19.3,43651.09
2011-03-19,26.6,18.7,43631.14
2011-03-20,24.7,18.7,43611.29
2011-03-21,24.9,18.5,43591.55
2011-03-22,27.4,17.9,43571.91
2011-03-23,26.8,18.3,43552.25
2011-03-24,27.4,19.6,43532.54
2011-03-25,26.9,19.8,43512.79
2011-03-26,27.0,19.7,43493.03
2011-03-27,27.1,19.2,43473.25
2011-03-28,26.5,19.3,43453.48
2011-03-29,26.6,19.6,43433.73
2011-03-30,26.5,19.1,43414.02
2011-03-31,24.8,18.6,43394.34
2011-04-01,26.0,19.3,43374.73
2011-04-02,26.4,19.3,43355.18
2011-04-03,26.4,19.6,43335.71
2011-04-04,25.5,19.5,43316.34
2011-04-05,26.2,18.8,43297.08
2011-04-06,25.7,19.3,43277.95
2011-04-07,24.3,19.0,43258.94
2011-04-08,23.7,19.0,43240.09
2011-04-09,25.2,18.8,43221.39
2011-04-10,26.5,19.4,43202.88
2011-04-11,25.9,19.8,43184.53
2011-04-12,25.5,19.5,43166.21
2011-04-13,24.9,19.2,43147.93
2011-04-14,25.6,19.0,43129.67
2011-04-15,24.6,18.7,43111.47
2011-04-16,25.2,18.4,43093.33
2011-04-17,25.4,18.7,43075.26
2011-04-18,25.6,19.1,43057.28
2011-04-19,23.2,18.7,43039.40
2011-04-20,23.5,18.6,43021.63
2011-04-21,23.0,18.9,43003.99
2011-04-22,23.2,18.8,42986.50
2011-04-23,24.3,18.7,42969.15
2011-04-24,25.1,18.7,42951.97
2011-04-25,25.1,18.4,42934.98
2011-04-26,24.4,18.5,42918.18
2011-04-27,25.5,18.4,42901.59
2011-04-28,25.6,18.2,42885.22
2011-04-29,25.1,18.5,42869.09
2011-04-30,25.1,18.6,42853.22
2011-05-01,24.4,18.9,42837.59
2011-05-02,24.0,18.2,42822.09
2011-05-03,24.7,16.6,42806.71
2011-05-04,25.7,15.6,42791.46
2011-05-05,24.9,17.1,42776.35
2011-05-06,24.1,17.0,42761.39
2011-05-07,24.1,17.5,42746.60
2011-05-08,24.9,18.7,42731.99
2011-05-09,24.0,18.1,42717.58
2011-05-10,22.9,18.0,42703.38
2011-05-11,22.9,17.5,42689.39
2011-05-12,23.6,18.2,42675.64
2011-05-13,24.5,17.9,42662.14
2011-05-14,24.7,17.5,42648.90
2011-05-15,24.0,17.8,42635.94
2011-05-16,23.6,17.7,42623.27
2011-05-17,23.9,18.1,42610.91
2011-05-18,23.9,18.0,42598.86
2011-05-19,23.8,18.2,42587.15
2011-05-20,24.0,17.9,42575.79
2011-05-21,24.1,16.6,42564.78
2011-05-22,23.9,16.3,42554.02
2011-05-23,22.2,16.7,42543.51
2011-05-24,23.3,17.6,42533.25
2011-05-25,23.6,17.2,42523.27
2011-05-26,24.8,17.0,42513.55
2011-05-27,24.7,17.9,42504.12
2011-05-28,24.2,17.5,42494.98
2011-05-29,24.5,17.3,42486.15
2011-05-30,25.3,17.8,42477.63
2011-05-31,24.1,17.9,42469.44
2011-06-01,24.7,16.8,42461.57
2011-06-02,25.0,16.6,42454.05
2011-06-03,24.0,15.3,42446.89
2011-06-04,23.2,15.8,42440.09
2011-06-05,23.5,16.8,42433.66
2011-06-06,23.8,15.5,42427.61
2011-06-07,23.9,16.4,42421.96
2011-06-08,23.4,16.7,42416.71
2011-06-09,24.4,17.2,42411.87
2011-06-10,25.4,17.4,42407.45
2011-06-11,26.1,17.2,42403.40
2011-06-12,25.7,16.2,42399.72
2011-06-13,24.4,15.9,42396.41
2011-06-14,24.8,14.5,42393.48
2011-06-15,24.4,14.0,42390.92
2011-06-16,24.8,14.8,42388.74
2011-06-17,23.5,15.0,42386.93
2011-06-18,23.3,15.6,42385.50
2011-06-19,23.7,15.0,42384.45
2011-06-20,24.6,15.5,42383.77
2011-06-21,23.4,15.8,42383.48
2011-06-22,23.8,16.3,42383.56
2011-06-23,23.4,16.4,42384.02
2011-06-24,23.6,16.7,42384.86
2011-06-25,23.4,16.9,42386.09
2011-06-26,24.2,17.2,42387.69
2011-06-27,22.8,16.6,42389.66
2011-06-28,21.8,16.1,42392.02
2011-06-29,22.6,15.1,42394.76
2011-06-30,25.2,14.4,42397.88
2011-07-01,25.1,14.8,42401.43
2011-07-02,23.7,16.6,42405.38
2011-07-03,23.9,15.8,42409.74
2011-07-04,24.2,16.1,42414.50
2011-07-05,24.2,14.6,42419.64
2011-07-06,24.2,12.5,42425.16
2011-07-07,23.8,12.2,42431.06
2011-07-08,23.0,11.0,42437.32
2011-07-09,23.2,12.6,42443.93
2011-07-10,23.1,10.9,42450.88
2011-07-11,24.2,13.0,42458.16
2011-07-12,25.2,11.6,42465.77
2011-07-13,23.0,14.0,42473.70
2011-07-14,23.1,15.2,42481.93
2011-07-15,23.4,14.7,42490.46
2011-07-16,23.5,14.8,42499.27
2011-07-17,24.4,14.7,42508.37
2011-07-18,23.5,13.9,42517.74
2011-07-19,23.0,14.1,42527.37
2011-07-20,23.2,14.4,42537.27
2011-07-21,23.9,14.2,42547.52
2011-07-22,24.8,15.0,42558.14
2011-07-23,24.1,14.4,42569.10
2011-07-24,25.2,14.9,42580.39
2011-07-25,26.8,13.8,42592.01
2011-07-26,26.6,14.5,42603.92
2011-07-27,25.8,15.7,42616.12
2011-07-28,23.6,16.7,42628.60
2011-07-29,23.7,15.1,42641.34
2011-07-30,24.7,14.2,42654.32
2011-07-31,23.5,14.0,42667.54
2011-08-01,24.4,13.6,42680.98
2011-08-02,23.0,13.8,42694.62
2011-08-03,24.8,14.4,42708.47
2011-08-04,23.7,14.8,42722.49
2011-08-05,23.3,15.9,42736.68
2011-08-06,23.8,15.4,42751.03
2011-08-07,23.1,16.2,42765.52
2011-08-08,23.3,16.3,42780.14
2011-08-09,23.4,15.8,42794.90
2011-08-10,23.6,14.9,42809.92
2011-08-11,23.8,15.1,42825.20
2011-08-12,24.4,14.6,42840.73
2011-08-13,23.9,14.8,42856.48
2011-08-14,25.4,15.5,42872.46
2011-08-15,24.0,15.6,42888.65
2011-08-16,23.7,15.2,42905.02
2011-08-17,23.4,14.2,42921.57
2011-08-18,23.3,13.6,42938.29
2011-08-19,23.3,14.0,42955.16
2011-08-20,23.7,14.2,42972.16
2011-08-21,23.1,14.0,42989.29
2011-08-22,23.3,14.6,43006.53
2011-08-23,24.4,13.7,43023.87
2011-08-24,26.1,13.6,43041.30
2011-08-25,26.6,14.5,43058.79
2011-08-26,25.6,15.1,43076.36
2011-08-27,24.3,14.7,43093.96
2011-08-28,24.2,14.3,43111.61
2011-08-29,24.3,14.3,43129.30
2011-08-30,24.2,14.5,43147.17
2011-08-31,24.7,15.7,43165.22
2011-09-01,23.7,16.3,43183.43
2011-09-02,24.0,15.3,43201.79
2011-09-03,26.3,14.9,43220.30
2011-09-04,25.9,14.5,43238.93
2011-09-05,25.9,14.9,43257.68
2011-09-06,24.3,14.3,43276.54
2011-09-07,25.8,14.7,43295.48
2011-09-08,24.4,15.1,43314.51
2011-09-09,25.1,16.2,43333.60
2011-09-10,24.5,15.8,43352.75
2011-09-11,24.5,15.6,43371.94
2011-09-12,23.5,15.5,43391.16
2011-09-13,25.8,15.3,43410.40
2011-09-14,24.6,17.2,43429.65
2011-09-15,25.0,16.8,43448.89
2011-09-16,26.1,16.3,43468.12
2011-09-17,25.1,15.6,43487.32
2011-09-18,25.2,15.2,43506.50
2011-09-19,25.7,15.4,43525.80
2011-09-20,26.5,15.0,43545.22
2011-09-21,27.8,16.2,43564.75
2011-09-22,28.5,16.7,43584.38
2011-09-23,25.1,18.1,43604.09
2011-09-24,26.4,17.3,43623.87
2011-09-25,23.9,17.5,43643.72
2011-09-26,24.8,16.6,43663.61
2011-09-27,25.3,16.6,43683.53
2011-09-28,26.9,16.5,43703.48
2011-09-29,25.7,15.8,43723.44
2011-09-30,24.6,18.0,43743.38
2011-10-01,24.8,17.9,43763.31
2011-10-02,26.7,16.5,43783.21
2011-10-03,27.1,16.0,43803.07
2011-10-04,28.6,16.0,43822.87
2011-10-05,28.9,15.9,43842.59
2011-10-06,27.0,17.7,43862.23
2011-10-07,24.4,16.6,43881.76
2011-10-08,24.7,16.7,43901.21
2011-10-09,23.9,17.2,43920.72
2011-10-10,23.2,17.1,43940.29
2011-10-11,23.4,17.0,43959.91
2011-10-12,23.7,17.1,43979.57
2011-10-13,23.3,17.3,43999.26
2011-10-14,23.0,17.3,44018.96
2011-10-15,22.9,16.2,44038.64
2011-10-16,25.6,17.2,44058.30
2011-10-17,25.6,17.3,44077.92
2011-10-18,24.9,17.4,44097.49
2011-10-19,25.5,17.3,44116.98
2011-10-20,27.1,16.5,44136.39
2011-10-21,27.1,17.7,44155.70
2011-10-22,26.4,18.6,44174.88
2011-10-23,27.9,17.1,44193.93
2011-10-24,29.2,17.3,44212.81
2011-10-25,30.8,14.6,44231.52
2011-10-26,28.7,13.9,44250.04
2011-10-27,29.4,19.4,44268.35
2011-10-28,28.8,19.4,44286.46
2011-10-29,29.5,19.2,44304.52
2011-10-30,29.0,18.4,44322.56
2011-10-31,28.6,18.0,44340.55
2011-11-01,29.5,16.4,44358.48
2011-11-02,29.3,15.1,44376.32
2011-11-03,28.3,16.7,44394.06
2011-11-04,27.0,19.1,44411.68
2011-11-05,29.4,18.6,44429.16
2011-11-06,28.7,19.0,44446.48
2011-11-07,28.0,19.1,44463.62
2011-11-08,27.2,17.6,44480.56
2011-11-09,27.9,17.1,44497.28
2011-11-10,28.4,18.2,44513.77
2011-11-11,26.4,18.3,44529.98
2011-11-12,26.2,18.6,44545.92
2011-11-13,25.3,19.0,44561.55
2011-11-14,23.5,19.1,44576.86
2011-11-15,27.3,19.0,44591.81
2011-11-16,25.5,18.7,44606.39
2011-11-17,25.9,18.1,44620.61
2011-11-18,22.8,17.3,44634.61
2011-11-19,23.5,17.6,44648.40
2011-11-20,26.8,18.2,44661.98
2011-11-21,27.8,18.4,44675.32
2011-11-22,29.2,18.7,44688.40
2011-11-23,27.9,19.3,44701.21
2011-11-24,27.4,19.5,44713.72
2011-11-25,29.2,19.5,44725.93
2011-11-26,28.9,19.0,44737.82
2011-11-27,29.1,19.5,44749.35
2011-11-28,27.7,18.9,44760.52
2011-11-29,26.1,18.6,44771.31
2011-11-30,26.8,18.9,44781.70
2011-12-01,26.8,18.0,44791.66
2011-12-02,28.7,17.5,44801.19
2011-12-03,28.6,19.1,44810.26
2011-12-04,29.2,19.7,44818.85
2011-12-05,27.9,19.7,44826.95
2011-12-06,27.6,19.5,44834.52
2011-12-07,28.1,19.8,44841.59
2011-12-08,28.0,19.6,44848.22
2011-12-09,29.3,19.3,44854.43
2011-12-10,28.6,19.4,44860.22
2011-12-11,27.7,19.8,44865.57
2011-12-12,26.9,19.6,44870.49
2011-12-13,27.6,19.3,44874.95
2011-12-14,27.3,19.0,44878.98
2011-12-15,27.2,18.9,44882.54
2011-12-16,28.1,18.0,44885.64
2011-12-17,28.0,20.0,44888.28
2011-12-18,27.7,18.4,44890.44
2011-12-19,28.6,18.7,44892.12
2011-12-20,26.6,18.6,44893.32
2011-12-21,26.7,18.9,44894.04
2011-12-22,26.9,19.4,44894.26
2011-12-23,26.3,19.4,44893.98
2011-12-24,27.5,19.4,44893.21
2011-12-25,26.9,17.0,44891.92
2011-12-26,27.1,17.9,44890.14
2011-12-27,27.2,19.8,44887.82
2011-12-28,26.9,19.4,44884.98
2011-12-29,26.2,18.6,44881.61
