Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2017_31-12-2018,,,,,,,,,,,,,,,,,,,,,,,
Comunidades autónomas,Andalucía,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018
Demanda,"3630139,835","3055225,208","3200360,441","2926812,041","3064661,115","3513624,19","3762105,389","3897918,111","3269767,622","3139871,264","3137597,193","3567152,647","3647455,25","3314118,179","3420195,699","3046257,009","3034386,929","3159186,964","3478781,369","3903582,791","3397077,507","3130157,324","3188665,788","3391917,149"
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2017 - 31/12/2018,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,24/06/2024 - 15:54:14,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
