Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_29-02-2024,,,,,,,,,,,,,
Comunidades autónomas,Andalucía,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024
Demanda,"3411487,546","3107702,504","3057700,282","2803750,552","2909542,495","3112138,664","3787861,082","3799101,093","3006602,444","3003718,883","2981726,852","3421974,695","3453378,827","2996150,796"
 ,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 29/02/2024,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fecha exportación,27/06/2024 - 17:46:56,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,
