latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-0.8787346,41.674526,27.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,33.4,24.3,43813.85
2011-01-02,34.7,21.9,43812.85
2011-01-03,34.5,23.5,43811.76
2011-01-04,34.4,23.7,43810.56
2011-01-05,34.8,23.7,43809.28
2011-01-06,35.4,24.0,43807.90
2011-01-07,35.4,23.7,43806.43
2011-01-08,35.5,23.1,43804.89
2011-01-09,35.6,22.6,43803.25
2011-01-10,35.6,24.5,43801.55
2011-01-11,34.8,24.3,43799.77
2011-01-12,33.5,24.6,43797.92
2011-01-13,33.8,23.9,43796.00
2011-01-14,36.1,23.7,43794.01
2011-01-15,34.8,24.1,43791.97
2011-01-16,34.8,23.6,43789.86
2011-01-17,34.7,23.6,43787.70
2011-01-18,33.9,23.6,43785.50
2011-01-19,35.1,22.5,43783.23
2011-01-20,35.8,21.9,43780.93
2011-01-21,35.2,24.2,43778.58
2011-01-22,34.6,24.0,43776.15
2011-01-23,34.5,25.2,43773.66
2011-01-24,35.5,24.4,43771.09
2011-01-25,36.5,23.5,43768.47
2011-01-26,36.8,24.0,43765.78
2011-01-27,35.6,24.3,43763.04
2011-01-28,35.9,24.9,43760.25
2011-01-29,36.1,24.5,43757.41
2011-01-30,36.8,24.9,43754.54
2011-01-31,33.9,24.8,43751.62
2011-02-01,34.9,23.8,43748.68
2011-02-02,35.9,23.2,43745.70
2011-02-03,34.6,23.6,43742.70
2011-02-04,34.1,23.7,43739.69
2011-02-05,36.1,23.0,43736.65
2011-02-06,38.1,22.9,43733.60
2011-02-07,37.5,23.5,43730.54
2011-02-08,36.9,23.6,43727.48
2011-02-09,35.5,22.8,43724.41
2011-02-10,35.7,23.4,43721.34
2011-02-11,37.2,22.3,43718.25
2011-02-12,35.6,22.7,43715.11
2011-02-13,33.6,23.5,43711.95
2011-02-14,36.5,23.4,43708.76
2011-02-15,37.0,24.0,43705.55
2011-02-16,35.3,24.9,43702.32
2011-02-17,36.9,24.6,43699.07
2011-02-18,35.7,24.8,43695.81
2011-02-19,36.2,24.1,43692.55
2011-02-20,35.0,24.1,43689.28
2011-02-21,35.6,24.0,43686.02
2011-02-22,34.0,24.6,43682.75
2011-02-23,34.7,23.5,43679.50
2011-02-24,34.5,22.8,43676.24
2011-02-25,35.7,23.6,43673.00
2011-02-26,35.2,23.7,43669.77
2011-02-27,34.5,24.0,43666.57
2011-02-28,32.8,23.7,43663.38
2011-03-01,35.1,24.2,43660.22
2011-03-02,34.6,23.5,43657.07
2011-03-03,35.3,23.3,43653.93
2011-03-04,34.8,24.2,43650.77
2011-03-05,34.8,23.3,43647.61
2011-03-06,34.4,23.1,43644.46
2011-03-07,36.2,23.3,43641.31
2011-03-08,36.6,23.5,43638.16
2011-03-09,35.4,24.2,43635.02
2011-03-10,36.7,22.8,43631.88
2011-03-11,34.8,24.1,43628.76
2011-03-12,35.7,23.4,43625.66
2011-03-13,35.4,23.9,43622.57
2011-03-14,34.1,24.5,43619.50
2011-03-15,35.1,23.2,43616.45
2011-03-16,35.2,24.6,43613.43
2011-03-17,33.7,25.1,43610.43
2011-03-18,35.2,24.4,43607.46
2011-03-19,35.5,24.3,43604.52
2011-03-20,35.7,23.5,43601.61
2011-03-21,35.6,24.0,43598.73
2011-03-22,36.6,24.1,43595.89
2011-03-23,35.3,24.9,43593.05
2011-03-24,36.7,25.0,43590.23
2011-03-25,35.1,25.9,43587.42
2011-03-26,34.8,26.1,43584.62
2011-03-27,35.8,24.3,43581.83
2011-03-28,36.8,24.0,43579.07
2011-03-29,34.8,26.4,43576.32
2011-03-30,34.8,25.8,43573.59
2011-03-31,35.4,24.9,43570.88
2011-04-01,35.6,25.6,43568.20
2011-04-02,35.2,25.0,43565.54
2011-04-03,34.4,25.2,43562.91
2011-04-04,34.2,25.6,43560.30
2011-04-05,35.7,24.7,43557.73
2011-04-06,35.9,25.6,43555.19
2011-04-07,35.3,23.9,43552.68
2011-04-08,34.7,24.4,43550.21
2011-04-09,35.0,25.9,43547.77
2011-04-10,35.6,25.8,43545.37
2011-04-11,36.1,26.4,43543.00
2011-04-12,35.6,25.2,43540.66
2011-04-13,35.7,25.3,43538.33
2011-04-14,35.2,25.6,43536.02
2011-04-15,34.5,25.3,43533.73
2011-04-16,34.5,25.4,43531.46
2011-04-17,33.6,25.1,43529.22
2011-04-18,34.6,24.9,43527.00
2011-04-19,33.8,25.3,43524.80
2011-04-20,34.6,25.1,43522.63
2011-04-21,34.4,25.0,43520.50
2011-04-22,32.2,25.4,43518.39
2011-04-23,32.5,25.2,43516.31
2011-04-24,31.4,25.0,43514.26
2011-04-25,31.5,24.9,43512.25
2011-04-26,32.6,24.5,43510.27
2011-04-27,33.5,25.0,43508.33
2011-04-28,32.5,25.1,43506.43
2011-04-29,34.4,25.2,43504.56
2011-04-30,34.8,25.2,43502.73
2011-05-01,34.4,25.8,43500.94
2011-05-02,34.1,25.3,43499.18
2011-05-03,30.7,25.2,43497.44
2011-05-04,30.0,25.2,43495.73
2011-05-05,31.6,24.3,43494.04
2011-05-06,30.4,24.8,43492.38
2011-05-07,31.9,24.3,43490.73
2011-05-08,30.3,24.4,43489.13
2011-05-09,31.1,24.2,43487.55
2011-05-10,32.1,24.3,43486.00
2011-05-11,31.1,24.9,43484.49
2011-05-12,31.3,24.7,43483.00
2011-05-13,31.6,24.6,43481.56
2011-05-14,31.9,24.9,43480.14
2011-05-15,31.8,24.8,43478.77
2011-05-16,29.9,24.6,43477.43
2011-05-17,29.7,24.4,43476.13
2011-05-18,30.8,24.0,43474.86
2011-05-19,31.3,24.0,43473.64
2011-05-20,30.6,24.2,43472.46
2011-05-21,31.6,24.3,43471.32
2011-05-22,30.6,24.1,43470.21
2011-05-23,31.7,23.7,43469.14
2011-05-24,31.5,24.5,43468.09
2011-05-25,31.1,24.5,43467.07
2011-05-26,33.1,24.2,43466.09
2011-05-27,33.1,25.1,43465.13
2011-05-28,32.5,24.5,43464.21
2011-05-29,33.3,24.9,43463.32
2011-05-30,32.9,24.5,43462.47
2011-05-31,33.1,24.8,43461.65
2011-06-01,34.3,24.7,43460.88
2011-06-02,32.6,24.9,43460.12
2011-06-03,31.0,24.4,43459.42
2011-06-04,32.2,23.8,43458.75
2011-06-05,32.2,24.2,43458.11
2011-06-06,32.4,24.8,43457.52
2011-06-07,33.1,24.4,43456.96
2011-06-08,32.8,24.4,43456.45
2011-06-09,33.0,24.7,43455.98
2011-06-10,33.3,24.9,43455.54
2011-06-11,33.6,24.2,43455.15
2011-06-12,33.9,24.1,43454.79
2011-06-13,34.1,24.8,43454.47
2011-06-14,33.0,25.0,43454.18
2011-06-15,32.8,25.0,43453.93
2011-06-16,32.6,24.6,43453.72
2011-06-17,32.1,23.2,43453.54
2011-06-18,33.2,23.7,43453.40
2011-06-19,31.1,24.1,43453.30
2011-06-20,31.3,24.1,43453.23
2011-06-21,32.3,24.0,43453.20
2011-06-22,31.6,23.6,43453.20
2011-06-23,31.2,24.0,43453.25
2011-06-24,31.5,24.0,43453.32
2011-06-25,32.0,24.1,43453.43
2011-06-26,32.5,24.0,43453.59
2011-06-27,32.7,24.4,43453.77
2011-06-28,31.5,23.8,43454.00
2011-06-29,32.4,23.7,43454.26
2011-06-30,33.1,23.9,43454.56
2011-07-01,32.2,24.1,43454.90
