Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_29-02-2024,,,,,,,,,,,,,
Comunidades autónomas,Aragón,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024
Demanda,"878380,369","822063,237","844115,488","758608,486","811397,041","800791,162","836742,261","793739,474","765643,217","767601,167","788203,623","790003,599","848686,06","831639,156"
 ,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 29/02/2024,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fecha exportación,29/06/2024 - 23:08:17,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,
