latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-5.869947,43.388844,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,28.0,27.2,44838.80
2011-01-02,27.6,26.1,44833.65
2011-01-03,27.7,26.8,44827.98
2011-01-04,27.5,27.0,44821.80
2011-01-05,27.9,27.3,44815.13
2011-01-06,27.7,27.2,44807.99
2011-01-07,27.9,27.0,44800.38
2011-01-08,27.8,27.0,44792.33
2011-01-09,27.8,27.1,44783.84
2011-01-10,27.9,27.5,44774.95
2011-01-11,27.9,27.5,44765.64
2011-01-12,28.0,27.4,44755.96
2011-01-13,27.8,27.0,44745.91
2011-01-14,27.6,26.7,44735.50
2011-01-15,27.8,27.2,44724.75
2011-01-16,27.6,27.2,44713.68
2011-01-17,28.4,27.1,44702.29
2011-01-18,29.0,27.5,44690.61
2011-01-19,27.6,26.8,44678.66
2011-01-20,28.0,27.0,44666.43
2011-01-21,28.0,27.5,44653.94
2011-01-22,28.2,27.6,44641.04
2011-01-23,29.1,27.5,44627.73
2011-01-24,28.5,27.8,44614.02
2011-01-25,28.4,27.7,44599.94
2011-01-26,28.2,27.8,44585.51
2011-01-27,28.0,27.6,44570.76
2011-01-28,28.0,27.5,44555.70
2011-01-29,27.7,26.8,44540.36
2011-01-30,27.8,27.4,44524.75
2011-01-31,28.4,27.4,44508.90
2011-02-01,27.6,27.0,44492.83
2011-02-02,27.6,27.0,44476.55
2011-02-03,27.5,26.9,44460.11
2011-02-04,27.5,27.0,44443.49
2011-02-05,27.5,26.9,44426.73
2011-02-06,27.6,26.9,44409.84
2011-02-07,27.6,27.0,44392.86
2011-02-08,27.5,26.9,44375.78
2011-02-09,27.5,27.0,44358.64
2011-02-10,27.0,26.6,44341.42
2011-02-11,27.2,26.4,44323.96
2011-02-12,27.2,26.3,44306.27
2011-02-13,27.5,26.5,44288.33
2011-02-14,28.4,27.2,44270.18
2011-02-15,27.9,27.4,44251.84
2011-02-16,27.8,27.4,44233.33
2011-02-17,28.1,27.4,44214.67
2011-02-18,28.0,27.5,44195.86
2011-02-19,27.9,27.2,44176.94
2011-02-20,28.0,27.6,44157.92
2011-02-21,27.7,27.2,44138.81
2011-02-22,27.8,27.1,44119.64
2011-02-23,27.6,27.1,44100.43
2011-02-24,27.6,27.1,44081.18
2011-02-25,27.6,27.1,44061.91
2011-02-26,27.8,26.6,44042.65
2011-02-27,27.7,27.2,44023.41
2011-02-28,27.6,27.1,44004.20
2011-03-01,27.5,27.0,43985.03
2011-03-02,27.6,26.9,43965.91
2011-03-03,28.2,27.2,43946.70
2011-03-04,28.1,27.6,43927.35
2011-03-05,28.0,27.4,43907.89
2011-03-06,28.0,27.1,43888.33
2011-03-07,28.2,27.5,43868.70
2011-03-08,28.0,27.2,43848.99
2011-03-09,28.1,26.8,43829.24
2011-03-10,27.4,26.4,43809.45
2011-03-11,27.6,26.0,43789.63
2011-03-12,28.0,27.2,43769.81
2011-03-13,27.9,27.0,43749.99
2011-03-14,28.1,27.4,43730.19
2011-03-15,28.6,27.8,43710.43
2011-03-16,28.6,27.7,43690.71
2011-03-17,28.2,27.4,43671.05
2011-03-18,28.4,25.1,43651.47
2011-03-19,28.1,26.6,43631.97
2011-03-20,28.5,26.2,43612.58
2011-03-21,28.1,27.5,43593.29
2011-03-22,28.0,27.4,43574.12
2011-03-23,29.1,28.1,43554.93
2011-03-24,29.0,28.4,43535.68
2011-03-25,29.0,28.2,43516.41
2011-03-26,29.0,28.1,43497.11
2011-03-27,28.8,27.2,43477.80
2011-03-28,28.8,27.8,43458.51
2011-03-29,28.9,28.1,43439.22
2011-03-30,28.8,27.9,43419.97
2011-03-31,28.3,26.6,43400.76
2011-04-01,28.5,26.8,43381.61
2011-04-02,28.5,26.4,43362.52
2011-04-03,28.1,26.4,43343.51
2011-04-04,27.8,26.0,43324.59
2011-04-05,27.1,25.2,43305.78
2011-04-06,28.3,26.1,43287.09
2011-04-07,28.7,26.8,43268.53
2011-04-08,27.6,25.9,43250.12
2011-04-09,27.6,25.9,43231.86
2011-04-10,29.0,27.1,43213.77
2011-04-11,28.7,27.5,43195.85
2011-04-12,28.4,26.2,43177.98
2011-04-13,27.8,26.1,43160.13
2011-04-14,27.8,26.2,43142.31
2011-04-15,27.6,26.2,43124.54
2011-04-16,28.5,26.5,43106.83
2011-04-17,28.0,25.9,43089.19
2011-04-18,27.5,26.0,43071.64
2011-04-19,28.3,25.7,43054.18
2011-04-20,28.2,26.4,43036.84
2011-04-21,27.9,26.0,43019.61
2011-04-22,28.3,26.5,43002.53
2011-04-23,27.8,26.5,42985.59
2011-04-24,28.7,27.6,42968.82
2011-04-25,28.4,26.5,42952.22
2011-04-26,28.6,26.4,42935.81
2011-04-27,28.9,28.1,42919.61
2011-04-28,28.8,28.1,42903.62
2011-04-29,28.6,26.3,42887.87
2011-04-30,28.5,27.9,42872.37
2011-05-01,28.3,27.0,42857.10
2011-05-02,27.3,25.8,42841.97
2011-05-03,27.3,25.2,42826.96
2011-05-04,27.2,25.2,42812.07
2011-05-05,26.9,25.4,42797.31
2011-05-06,27.2,25.5,42782.71
2011-05-07,27.9,25.9,42768.27
2011-05-08,28.0,26.5,42754.01
2011-05-09,27.9,27.2,42739.93
2011-05-10,27.6,25.9,42726.06
2011-05-11,27.6,26.6,42712.40
2011-05-12,27.5,26.4,42698.96
2011-05-13,27.6,26.3,42685.78
2011-05-14,27.7,26.0,42672.84
2011-05-15,28.0,25.9,42660.18
2011-05-16,27.9,26.1,42647.80
2011-05-17,27.7,27.0,42635.71
2011-05-18,27.6,27.1,42623.94
2011-05-19,27.4,26.8,42612.49
2011-05-20,27.2,26.8,42601.39
2011-05-21,27.1,26.6,42590.62
2011-05-22,26.9,25.5,42580.11
2011-05-23,27.0,26.6,42569.84
2011-05-24,27.5,27.0,42559.81
2011-05-25,27.5,25.8,42550.05
2011-05-26,27.3,25.4,42540.55
2011-05-27,27.5,26.6,42531.33
2011-05-28,27.0,26.6,42522.40
2011-05-29,27.2,26.6,42513.76
2011-05-30,27.5,26.8,42505.43
2011-05-31,27.2,26.5,42497.41
2011-06-01,27.4,26.1,42489.71
2011-06-02,27.0,25.5,42482.36
2011-06-03,26.9,25.7,42475.34
2011-06-04,27.0,26.4,42468.68
2011-06-05,26.9,26.4,42462.38
2011-06-06,27.0,26.5,42456.45
2011-06-07,27.0,25.6,42450.90
2011-06-08,27.0,25.1,42445.75
2011-06-09,27.5,26.4,42441.00
2011-06-10,26.9,26.3,42436.65
2011-06-11,27.0,24.9,42432.67
2011-06-12,26.9,24.8,42429.06
2011-06-13,26.8,25.7,42425.81
2011-06-14,26.8,25.0,42422.91
2011-06-15,26.0,24.6,42420.39
2011-06-16,26.5,25.8,42418.23
2011-06-17,26.5,25.9,42416.44
2011-06-18,26.4,25.8,42415.01
2011-06-19,26.4,25.1,42413.96
2011-06-20,26.6,24.5,42413.27
2011-06-21,26.5,25.4,42412.95
2011-06-22,26.4,25.5,42413.00
2011-06-23,26.3,25.8,42413.42
2011-06-24,26.4,26.0,42414.21
2011-06-25,26.4,25.2,42415.37
2011-06-26,26.4,25.8,42416.90
2011-06-27,26.1,25.2,42418.80
2011-06-28,26.4,25.1,42421.07
2011-06-29,26.5,25.1,42423.70
2011-06-30,26.4,25.6,42426.72
2011-07-01,26.5,26.0,42430.13
2011-07-02,26.5,25.4,42433.96
2011-07-03,26.5,26.0,42438.17
2011-07-04,26.4,25.4,42442.78
2011-07-05,25.2,23.5,42447.77
2011-07-06,26.3,23.7,42453.12
2011-07-07,26.2,25.2,42458.84
2011-07-08,26.5,25.8,42464.91
2011-07-09,25.8,25.0,42471.33
2011-07-10,25.4,24.0,42478.08
2011-07-11,26.0,23.6,42485.16
2011-07-12,25.8,23.9,42492.55
2011-07-13,26.2,25.7,42500.25
2011-07-14,26.3,25.7,42508.26
2011-07-15,26.0,24.5,42516.55
2011-07-16,25.8,24.5,42525.12
2011-07-17,25.4,24.5,42533.97
2011-07-18,25.8,24.3,42543.09
2011-07-19,25.8,25.1,42552.46
2011-07-20,25.6,24.3,42562.09
2011-07-21,25.3,24.1,42572.06
2011-07-22,25.9,24.6,42582.38
2011-07-23,25.5,24.5,42593.05
2011-07-24,25.4,24.0,42604.03
2011-07-25,25.4,24.2,42615.33
2011-07-26,25.7,24.9,42626.93
2011-07-27,25.9,25.3,42638.80
2011-07-28,25.7,24.9,42650.95
2011-07-29,25.7,24.0,42663.36
2011-07-30,25.8,24.7,42676.00
2011-07-31,25.4,25.1,42688.88
2011-08-01,25.6,25.0,42701.96
2011-08-02,25.6,24.2,42715.26
2011-08-03,25.5,23.8,42728.75
2011-08-04,25.4,23.8,42742.41
2011-08-05,25.4,24.7,42756.24
2011-08-06,25.4,24.6,42770.22
2011-08-07,25.4,24.7,42784.35
2011-08-08,25.1,24.4,42798.60
2011-08-09,25.0,24.8,42812.98
2011-08-10,25.0,24.5,42827.61
2011-08-11,25.0,24.5,42842.50
2011-08-12,24.9,24.4,42857.62
2011-08-13,24.9,23.4,42872.98
2011-08-14,25.3,24.5,42888.55
2011-08-15,25.2,24.6,42904.32
2011-08-16,25.2,23.5,42920.29
2011-08-17,25.3,24.5,42936.42
2011-08-18,24.9,23.9,42952.71
2011-08-19,25.2,24.5,42969.16
2011-08-20,25.5,24.1,42985.74
2011-08-21,24.9,24.1,43002.44
2011-08-22,25.0,24.1,43019.26
2011-08-23,25.5,23.8,43036.17
2011-08-24,25.3,24.1,43053.16
2011-08-25,25.2,24.4,43070.23
2011-08-26,25.4,24.4,43087.37
2011-08-27,25.5,24.1,43104.55
2011-08-28,25.6,24.8,43121.77
2011-08-29,25.4,24.8,43139.03
2011-08-30,25.5,24.4,43156.45
2011-08-31,25.5,24.5,43174.04
2011-09-01,25.5,24.5,43191.80
2011-09-02,25.6,24.6,43209.71
2011-09-03,25.0,24.0,43227.77
2011-09-04,25.7,24.9,43245.95
2011-09-05,25.4,24.0,43264.23
2011-09-06,25.6,25.0,43282.63
2011-09-07,25.9,25.0,43301.12
2011-09-08,25.6,24.6,43319.68
2011-09-09,25.9,25.0,43338.31
2011-09-10,25.3,24.6,43357.00
2011-09-11,25.8,25.0,43375.73
2011-09-12,25.8,24.4,43394.49
2011-09-13,25.2,24.0,43413.28
2011-09-14,25.6,24.6,43432.07
2011-09-15,26.0,25.1,43450.85
2011-09-16,25.8,25.1,43469.62
2011-09-17,25.6,24.7,43488.38
2011-09-18,25.7,25.1,43507.10
2011-09-19,26.3,25.1,43525.93
2011-09-20,26.0,25.2,43544.88
2011-09-21,25.9,25.0,43563.93
2011-09-22,26.0,24.9,43583.09
2011-09-23,26.0,25.1,43602.34
2011-09-24,25.9,25.1,43621.65
2011-09-25,25.9,25.3,43641.02
2011-09-26,26.2,25.4,43660.45
2011-09-27,26.0,25.1,43679.90
2011-09-28,26.0,24.9,43699.38
2011-09-29,25.9,25.0,43718.86
2011-09-30,26.0,25.3,43738.35
2011-10-01,26.1,25.5,43757.81
2011-10-02,26.1,25.1,43777.25
2011-10-03,26.7,25.7,43796.64
2011-10-04,26.5,25.6,43815.98
2011-10-05,26.2,25.7,43835.25
2011-10-06,26.4,25.9,43854.44
2011-10-07,26.4,25.6,43873.53
