Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_29-02-2024,,,,,,,,,,,,,
Comunidades autónomas,Principado de Asturias,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024
Demanda,"736678,285","698689,63","725089,443","650440,533","681915,218","661470,468","686294,61","661840,205","664492,4","697903,882","707637,896","741593,527","775794,512","703143,477"
 ,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 29/02/2024,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fecha exportación,02/07/2024 - 21:53:45,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,
