latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-15.430579,28.140844,1233.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,24.6,19.0,46886.17
2011-01-02,25.8,19.3,46872.70
2011-01-03,26.6,18.7,46857.86
2011-01-04,25.9,18.4,46841.69
2011-01-05,25.8,17.5,46824.23
2011-01-06,25.9,16.3,46805.53
2011-01-07,25.1,16.9,46785.62
2011-01-08,24.6,17.7,46764.54
2011-01-09,25.0,17.7,46742.32
2011-01-10,24.1,18.1,46719.02
2011-01-11,26.3,17.9,46694.67
2011-01-12,24.5,17.7,46669.31
2011-01-13,24.0,18.2,46642.97
2011-01-14,25.2,18.6,46615.70
2011-01-15,25.3,18.3,46587.55
2011-01-16,24.3,18.1,46558.53
2011-01-17,24.8,17.7,46528.70
2011-01-18,25.4,18.2,46498.09
2011-01-19,24.4,18.6,46466.75
2011-01-20,24.6,17.7,46434.70
2011-01-21,24.4,17.2,46401.94
2011-01-22,23.3,17.4,46368.11
2011-01-23,25.9,16.4,46333.19
2011-01-24,25.9,17.5,46297.23
2011-01-25,24.1,17.9,46260.28
2011-01-26,25.5,18.4,46222.42
2011-01-27,23.9,18.2,46183.68
2011-01-28,24.8,17.2,46144.14
2011-01-29,25.5,18.1,46103.84
2011-01-30,20.6,18.1,46062.84
2011-01-31,23.9,17.8,46021.19
2011-02-01,25.2,18.4,45978.95
2011-02-02,25.0,17.7,45936.16
2011-02-03,25.1,17.4,45892.89
2011-02-04,24.6,15.6,45849.18
2011-02-05,24.7,17.6,45805.08
2011-02-06,24.4,15.9,45760.64
2011-02-07,24.6,15.9,45715.91
2011-02-08,25.2,16.7,45670.93
2011-02-09,25.7,16.9,45625.77
2011-02-10,25.5,17.2,45580.38
2011-02-11,24.2,17.5,45534.38
2011-02-12,25.2,16.2,45487.70
2011-02-13,24.3,15.6,45440.38
2011-02-14,24.0,16.8,45392.49
2011-02-15,24.7,16.4,45344.07
2011-02-16,24.9,15.7,45295.18
2011-02-17,25.3,15.8,45245.86
2011-02-18,25.8,15.3,45196.16
2011-02-19,26.3,17.4,45146.12
2011-02-20,27.0,17.7,45095.80
2011-02-21,24.4,17.9,45045.24
2011-02-22,23.9,18.3,44994.49
2011-02-23,24.6,16.4,44943.59
2011-02-24,25.8,17.1,44892.59
2011-02-25,26.0,17.2,44841.51
2011-02-26,24.5,16.7,44790.43
2011-02-27,25.5,17.1,44739.36
2011-02-28,23.5,17.6,44688.36
2011-03-01,24.6,17.8,44637.46
2011-03-02,24.0,17.5,44586.66
2011-03-03,22.5,17.4,44535.55
2011-03-04,24.2,17.8,44484.10
2011-03-05,24.6,16.3,44432.31
2011-03-06,24.9,17.3,44380.24
2011-03-07,24.4,16.9,44327.93
2011-03-08,24.7,17.0,44275.42
2011-03-09,25.0,16.4,44222.74
2011-03-10,26.0,17.8,44169.93
2011-03-11,25.1,16.3,44117.04
2011-03-12,25.3,16.9,44064.09
2011-03-13,24.1,18.4,44011.13
2011-03-14,25.0,18.6,43958.19
2011-03-15,25.1,18.9,43905.30
2011-03-16,24.1,17.6,43852.52
2011-03-17,23.8,18.6,43799.86
2011-03-18,24.9,18.0,43747.38
2011-03-19,25.5,17.5,43695.09
2011-03-20,25.2,17.9,43643.05
2011-03-21,24.6,17.2,43591.29
2011-03-22,25.5,17.0,43539.79
2011-03-23,25.7,16.9,43488.19
2011-03-24,25.5,17.1,43436.44
2011-03-25,25.3,17.6,43384.57
2011-03-26,25.1,18.4,43332.61
2011-03-27,25.1,17.9,43280.60
2011-03-28,25.0,17.6,43228.57
2011-03-29,24.7,15.3,43176.55
2011-03-30,24.8,13.2,43124.59
2011-03-31,24.9,15.0,43072.70
2011-04-01,24.9,14.1,43020.93
2011-04-02,25.7,14.4,42969.32
2011-04-03,25.7,16.0,42917.88
2011-04-04,26.2,17.8,42866.66
2011-04-05,23.7,18.4,42815.71
2011-04-06,24.0,18.6,42765.04
2011-04-07,24.4,17.5,42714.69
2011-04-08,23.3,18.3,42664.71
2011-04-09,22.4,18.0,42615.12
2011-04-10,22.2,16.4,42565.97
2011-04-11,22.0,14.7,42517.25
2011-04-12,22.5,14.0,42468.61
2011-04-13,23.0,12.3,42420.00
2011-04-14,23.3,13.1,42371.47
2011-04-15,24.0,14.1,42323.03
2011-04-16,24.4,13.8,42274.72
2011-04-17,25.4,14.1,42226.59
2011-04-18,24.8,16.3,42178.65
2011-04-19,23.4,16.3,42130.95
2011-04-20,24.1,16.3,42083.53
2011-04-21,24.8,15.7,42036.41
2011-04-22,26.6,15.5,41989.64
2011-04-23,24.3,17.3,41943.24
2011-04-24,25.8,15.9,41897.27
2011-04-25,26.4,14.9,41851.75
2011-04-26,27.4,15.7,41806.73
2011-04-27,28.0,15.4,41762.24
2011-04-28,28.3,17.1,41718.32
2011-04-29,26.1,18.7,41675.03
2011-04-30,25.4,18.6,41632.38
2011-05-01,24.2,18.0,41590.38
2011-05-02,22.8,15.4,41548.72
2011-05-03,21.5,13.9,41507.36
2011-05-04,21.6,13.0,41466.31
2011-05-05,22.6,11.8,41425.62
2011-05-06,23.4,11.8,41385.33
2011-05-07,24.0,11.7,41345.46
2011-05-08,24.5,11.2,41306.07
2011-05-09,24.0,12.2,41267.17
2011-05-10,23.0,13.1,41228.81
2011-05-11,23.5,11.9,41191.03
2011-05-12,23.8,11.8,41153.85
2011-05-13,24.4,12.1,41117.33
2011-05-14,24.8,12.2,41081.50
2011-05-15,25.0,13.4,41046.40
2011-05-16,25.6,12.2,41012.07
2011-05-17,25.9,14.8,40978.54
2011-05-18,26.8,15.0,40945.87
2011-05-19,24.8,15.5,40914.08
2011-05-20,24.5,14.1,40883.23
2011-05-21,23.2,14.5,40853.32
2011-05-22,22.2,14.6,40824.10
2011-05-23,22.4,13.7,40795.53
2011-05-24,24.8,13.2,40767.65
2011-05-25,25.8,13.4,40740.47
2011-05-26,24.6,15.9,40714.04
2011-05-27,23.3,14.5,40688.36
2011-05-28,24.3,14.4,40663.46
2011-05-29,25.4,13.3,40639.39
2011-05-30,26.0,14.2,40616.16
2011-05-31,27.3,16.0,40593.80
2011-06-01,25.5,15.1,40572.35
2011-06-02,23.3,14.9,40551.81
2011-06-03,23.0,14.0,40532.23
2011-06-04,22.4,13.5,40513.64
2011-06-05,23.4,13.7,40496.05
2011-06-06,23.2,14.8,40479.49
2011-06-07,24.9,15.7,40464.00
2011-06-08,26.7,16.0,40449.61
2011-06-09,25.6,14.7,40436.32
2011-06-10,24.6,12.7,40424.17
2011-06-11,23.5,9.4,40413.05
2011-06-12,23.9,10.7,40402.94
2011-06-13,23.0,11.7,40393.85
2011-06-14,21.4,11.6,40385.77
2011-06-15,21.2,9.8,40378.71
2011-06-16,22.1,9.0,40372.67
2011-06-17,23.2,9.0,40367.65
2011-06-18,23.6,10.8,40363.67
2011-06-19,22.3,11.8,40360.71
2011-06-20,22.6,9.8,40358.78
2011-06-21,23.1,11.0,40357.89
2011-06-22,22.4,12.1,40358.03
2011-06-23,22.6,10.8,40359.20
2011-06-24,23.5,10.4,40361.41
2011-06-25,22.6,10.1,40364.66
2011-06-26,21.5,6.9,40368.93
2011-06-27,22.4,7.2,40374.25
2011-06-28,23.7,9.7,40380.60
2011-06-29,24.2,10.8,40387.97
2011-06-30,23.7,10.4,40396.39
2011-07-01,23.5,9.4,40405.95
2011-07-02,23.6,8.2,40416.64
2011-07-03,24.3,9.8,40428.43
2011-07-04,24.3,12.3,40441.30
2011-07-05,22.7,12.0,40455.24
2011-07-06,22.9,9.9,40470.20
2011-07-07,18.6,12.8,40486.17
