latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-3.8312829,43.463413,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,27.0,26.0,44418.23
2011-01-02,26.6,26.0,44414.79
2011-01-03,27.0,26.0,44411.00
2011-01-04,26.8,26.4,44406.86
2011-01-05,27.2,26.7,44402.40
2011-01-06,27.4,26.7,44397.62
2011-01-07,27.4,26.6,44392.54
2011-01-08,27.0,26.5,44387.15
2011-01-09,27.2,26.5,44381.48
2011-01-10,27.4,27.0,44375.53
2011-01-11,27.5,27.1,44369.32
2011-01-12,27.4,26.9,44362.85
2011-01-13,27.1,26.8,44356.13
2011-01-14,27.4,26.7,44349.17
2011-01-15,27.6,27.1,44342.00
2011-01-16,27.5,26.9,44334.60
2011-01-17,28.1,27.1,44327.00
2011-01-18,27.5,27.1,44319.21
2011-01-19,27.1,26.8,44311.23
2011-01-20,27.5,26.5,44303.07
2011-01-21,27.4,26.9,44294.74
2011-01-22,27.7,26.9,44286.14
2011-01-23,28.2,27.5,44277.26
2011-01-24,27.8,26.9,44268.12
2011-01-25,27.5,26.8,44258.75
2011-01-26,27.2,26.6,44249.13
2011-01-27,27.5,26.5,44239.30
2011-01-28,27.0,26.5,44229.28
2011-01-29,27.3,26.2,44219.06
2011-01-30,27.3,26.6,44208.68
2011-01-31,27.6,26.8,44198.14
2011-02-01,27.0,26.2,44187.45
2011-02-02,26.9,26.1,44176.63
2011-02-03,26.8,26.4,44165.69
2011-02-04,27.4,26.4,44154.65
2011-02-05,26.7,25.9,44143.52
2011-02-06,26.8,26.2,44132.31
2011-02-07,26.7,26.1,44121.03
2011-02-08,26.6,26.1,44109.70
2011-02-09,26.7,26.0,44098.33
2011-02-10,26.5,25.6,44086.91
2011-02-11,26.5,25.6,44075.35
2011-02-12,26.8,25.6,44063.61
2011-02-13,27.0,26.0,44051.73
2011-02-14,27.2,26.4,44039.72
2011-02-15,27.3,26.9,44027.58
2011-02-16,27.2,26.5,44015.34
2011-02-17,27.4,27.0,44003.00
2011-02-18,27.4,26.8,43990.56
2011-02-19,27.4,26.5,43978.06
2011-02-20,27.5,26.8,43965.50
2011-02-21,27.1,26.6,43952.88
2011-02-22,27.4,26.6,43940.23
2011-02-23,27.4,26.5,43927.56
2011-02-24,26.9,26.2,43914.86
2011-02-25,27.0,26.1,43902.17
2011-02-26,27.3,26.6,43889.48
2011-02-27,27.8,27.0,43876.80
2011-02-28,27.4,26.8,43864.16
2011-03-01,27.3,26.5,43851.56
2011-03-02,27.5,26.8,43838.98
2011-03-03,27.9,26.9,43826.36
2011-03-04,27.8,27.0,43813.64
2011-03-05,27.5,26.6,43800.86
2011-03-06,27.6,26.8,43788.03
2011-03-07,27.7,27.1,43775.15
2011-03-08,27.4,26.6,43762.23
2011-03-09,27.5,26.4,43749.28
2011-03-10,27.2,26.6,43736.32
2011-03-11,27.2,26.5,43723.35
2011-03-12,27.0,26.1,43710.38
2011-03-13,27.1,26.6,43697.41
2011-03-14,27.5,26.9,43684.47
2011-03-15,27.2,26.6,43671.55
2011-03-16,27.2,26.5,43658.68
2011-03-17,27.2,26.7,43645.85
2011-03-18,27.4,26.8,43633.07
2011-03-19,27.3,26.9,43620.36
2011-03-20,27.5,26.9,43607.71
2011-03-21,27.4,26.8,43595.15
2011-03-22,28.0,26.5,43582.68
2011-03-23,28.4,27.5,43570.18
2011-03-24,28.8,27.9,43557.67
2011-03-25,28.6,28.0,43545.14
2011-03-26,28.3,27.8,43532.60
2011-03-27,28.8,27.8,43520.06
2011-03-28,28.8,27.9,43507.54
2011-03-29,28.8,28.1,43495.03
2011-03-30,28.5,27.6,43482.54
2011-03-31,28.7,28.0,43470.09
2011-04-01,28.4,27.9,43457.69
2011-04-02,28.9,28.0,43445.33
2011-04-03,28.4,27.3,43433.04
2011-04-04,28.2,26.4,43420.80
2011-04-05,28.4,27.9,43408.64
2011-04-06,28.3,26.6,43396.57
2011-04-07,28.9,28.0,43384.59
2011-04-08,27.9,26.4,43372.70
2011-04-09,27.8,26.6,43360.93
2011-04-10,28.5,27.0,43349.27
2011-04-11,29.2,28.0,43337.72
2011-04-12,29.5,28.6,43326.21
2011-04-13,28.9,27.8,43314.72
2011-04-14,27.9,27.1,43303.26
2011-04-15,28.2,26.9,43291.83
2011-04-16,28.7,26.5,43280.45
2011-04-17,28.8,27.1,43269.11
2011-04-18,27.8,26.4,43257.84
2011-04-19,28.4,26.3,43246.64
2011-04-20,28.4,27.2,43235.52
2011-04-21,28.4,26.2,43224.47
2011-04-22,28.6,27.4,43213.53
2011-04-23,28.8,27.8,43202.68
2011-04-24,28.5,27.0,43191.93
2011-04-25,28.6,27.0,43181.31
2011-04-26,28.5,28.0,43170.82
2011-04-27,28.6,27.0,43160.46
2011-04-28,28.6,28.0,43150.25
2011-04-29,28.4,27.3,43140.18
2011-04-30,28.4,26.2,43130.28
2011-05-01,28.2,26.2,43120.54
2011-05-02,27.9,26.0,43110.89
2011-05-03,27.4,25.8,43101.31
2011-05-04,27.2,25.4,43091.82
2011-05-05,27.4,25.4,43082.42
2011-05-06,27.3,25.3,43073.12
2011-05-07,27.6,26.2,43063.93
2011-05-08,28.1,26.3,43054.85
2011-05-09,28.0,27.0,43045.89
2011-05-10,28.2,27.4,43037.07
2011-05-11,28.0,27.5,43028.39
2011-05-12,28.0,27.1,43019.85
2011-05-13,27.8,26.6,43011.48
2011-05-14,27.9,26.7,43003.26
2011-05-15,28.5,26.8,42995.23
2011-05-16,26.9,25.6,42987.37
2011-05-17,27.9,26.6,42979.70
2011-05-18,27.6,26.6,42972.23
2011-05-19,27.5,27.0,42964.98
2011-05-20,27.5,26.6,42957.94
