latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-4.042179,39.82885,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,31.7,25.3,44461.59
2011-01-02,33.1,25.3,44457.97
2011-01-03,33.0,24.3,44453.98
2011-01-04,33.8,25.6,44449.64
2011-01-05,32.1,26.2,44444.95
2011-01-06,33.7,26.1,44439.93
2011-01-07,32.4,26.4,44434.58
2011-01-08,32.5,26.2,44428.92
2011-01-09,33.5,25.0,44422.96
2011-01-10,33.7,26.1,44416.70
2011-01-11,34.0,27.0,44410.17
2011-01-12,33.4,27.0,44403.37
2011-01-13,32.0,25.9,44396.31
2011-01-14,32.6,26.3,44389.00
2011-01-15,33.3,26.1,44381.45
2011-01-16,33.4,25.6,44373.68
2011-01-17,33.4,26.2,44365.69
2011-01-18,33.1,25.8,44357.50
2011-01-19,32.8,25.1,44349.11
2011-01-20,33.2,23.6,44340.53
2011-01-21,33.5,25.1,44331.77
2011-01-22,33.7,25.9,44322.72
2011-01-23,32.8,26.5,44313.39
2011-01-24,33.7,26.3,44303.78
2011-01-25,34.0,25.1,44293.91
2011-01-26,34.1,25.2,44283.81
2011-01-27,32.8,25.1,44273.47
2011-01-28,33.2,25.6,44262.93
2011-01-29,34.1,25.4,44252.18
2011-01-30,33.6,25.7,44241.26
2011-01-31,32.2,26.0,44230.17
2011-02-01,33.2,25.0,44218.92
2011-02-02,33.3,24.7,44207.55
2011-02-03,32.6,24.8,44196.04
2011-02-04,32.7,25.4,44184.42
2011-02-05,33.3,24.1,44172.71
2011-02-06,34.0,25.7,44160.92
2011-02-07,34.5,26.0,44149.05
2011-02-08,33.6,25.7,44137.13
2011-02-09,33.3,25.6,44125.16
2011-02-10,33.2,25.1,44113.14
2011-02-11,33.7,25.3,44100.97
2011-02-12,33.7,25.9,44088.62
2011-02-13,32.9,26.0,44076.12
2011-02-14,34.2,26.5,44063.47
2011-02-15,32.7,26.8,44050.70
2011-02-16,28.9,24.2,44037.80
2011-02-17,32.7,24.7,44024.81
2011-02-18,33.3,25.5,44011.72
2011-02-19,32.7,26.0,43998.55
2011-02-20,32.1,25.8,43985.32
2011-02-21,32.1,25.2,43972.04
2011-02-22,31.6,25.7,43958.72
2011-02-23,32.1,25.0,43945.37
2011-02-24,31.9,24.7,43932.00
2011-02-25,32.4,25.1,43918.62
2011-02-26,32.4,25.4,43905.26
2011-02-27,31.8,25.7,43891.91
2011-02-28,32.4,25.0,43878.59
2011-03-01,32.3,24.5,43865.30
2011-03-02,32.0,24.9,43852.06
2011-03-03,32.7,25.7,43838.75
2011-03-04,32.6,25.1,43825.35
2011-03-05,33.0,25.5,43811.88
2011-03-06,32.8,26.3,43798.36
2011-03-07,33.4,25.8,43784.77
2011-03-08,34.1,25.9,43771.16
2011-03-09,33.8,25.8,43757.51
2011-03-10,33.4,25.2,43743.84
2011-03-11,33.0,25.1,43730.16
2011-03-12,32.4,25.9,43716.48
2011-03-13,32.1,26.4,43702.81
2011-03-14,31.6,25.7,43689.17
2011-03-15,32.3,25.6,43675.54
2011-03-16,32.9,25.2,43661.96
2011-03-17,32.6,25.8,43648.43
2011-03-18,31.9,26.0,43634.95
2011-03-19,32.4,25.5,43621.53
2011-03-20,32.8,25.4,43608.20
2011-03-21,33.1,25.2,43594.94
2011-03-22,33.7,25.0,43581.77
2011-03-23,31.9,26.2,43568.59
2011-03-24,33.6,25.9,43555.38
2011-03-25,32.4,25.7,43542.15
2011-03-26,33.2,26.1,43528.91
2011-03-27,32.6,25.9,43515.68
2011-03-28,32.8,26.2,43502.46
2011-03-29,32.4,26.7,43489.25
2011-03-30,31.8,26.3,43476.06
2011-03-31,31.9,25.9,43462.92
2011-04-01,31.6,25.1,43449.82
2011-04-02,31.4,26.0,43436.77
2011-04-03,31.8,25.9,43423.77
2011-04-04,32.1,25.7,43410.85
2011-04-05,30.4,24.7,43398.01
2011-04-06,31.3,25.4,43385.25
2011-04-07,30.5,26.0,43372.59
2011-04-08,31.5,25.0,43360.03
2011-04-09,32.5,25.5,43347.59
2011-04-10,33.3,25.9,43335.27
2011-04-11,31.6,26.1,43323.06
2011-04-12,32.0,26.1,43310.89
2011-04-13,31.3,25.9,43298.74
2011-04-14,31.0,25.5,43286.63
2011-04-15,30.6,25.7,43274.55
2011-04-16,31.1,24.9,43262.51
2011-04-17,31.7,25.1,43250.53
2011-04-18,32.0,25.4,43238.61
2011-04-19,31.5,25.5,43226.76
2011-04-20,30.9,25.1,43214.99
2011-04-21,31.2,25.0,43203.31
2011-04-22,31.9,25.4,43191.73
2011-04-23,30.0,25.1,43180.25
2011-04-24,30.0,24.9,43168.89
2011-04-25,30.5,25.1,43157.66
2011-04-26,28.9,25.0,43146.54
2011-04-27,31.2,25.0,43135.58
2011-04-28,31.2,25.3,43124.77
2011-04-29,30.9,25.5,43114.12
2011-04-30,30.9,25.4,43103.64
2011-05-01,30.5,25.0,43093.33
2011-05-02,29.9,24.6,43083.11
2011-05-03,30.8,24.4,43072.98
2011-05-04,31.2,26.5,43062.93
2011-05-05,31.4,25.6,43052.98
2011-05-06,31.5,26.1,43043.13
2011-05-07,30.4,25.1,43033.39
2011-05-08,28.5,24.7,43023.78
2011-05-09,28.4,24.5,43014.30
2011-05-10,26.8,23.9,43004.95
2011-05-11,28.6,23.7,42995.76
2011-05-12,28.6,24.3,42986.72
2011-05-13,29.3,24.3,42977.85
2011-05-14,29.6,24.3,42969.14
2011-05-15,29.5,25.0,42960.63
2011-05-16,29.4,24.5,42952.30
2011-05-17,28.1,23.8,42944.18
2011-05-18,28.9,24.4,42936.27
2011-05-19,29.1,24.1,42928.59
2011-05-20,29.1,24.1,42921.12
2011-05-21,28.0,23.6,42913.90
2011-05-22,29.6,24.3,42906.85
2011-05-23,27.4,24.2,42899.95
2011-05-24,27.9,23.7,42893.23
2011-05-25,29.2,23.6,42886.68
2011-05-26,29.5,24.3,42880.31
2011-05-27,29.0,25.0,42874.13
2011-05-28,29.2,24.4,42868.14
2011-05-29,29.4,23.9,42862.35
2011-05-30,29.5,24.6,42856.77
2011-05-31,29.5,23.9,42851.40
2011-06-01,29.8,24.8,42846.24
2011-06-02,29.9,24.6,42841.31
2011-06-03,29.4,24.8,42836.62
2011-06-04,28.3,23.8,42832.16
2011-06-05,28.4,23.7,42827.94
2011-06-06,28.7,23.7,42823.98
2011-06-07,28.1,23.8,42820.27
2011-06-08,28.9,23.7,42816.81
2011-06-09,28.1,23.9,42813.64
2011-06-10,29.1,24.6,42810.73
2011-06-11,29.3,23.2,42808.07
2011-06-12,29.8,24.1,42805.65
2011-06-13,29.1,24.7,42803.47
2011-06-14,29.8,24.6,42801.54
2011-06-15,29.1,24.3,42799.85
2011-06-16,28.4,23.0,42798.41
2011-06-17,28.8,23.2,42797.21
2011-06-18,28.1,24.4,42796.26
2011-06-19,29.0,24.2,42795.55
2011-06-20,27.2,24.4,42795.09
2011-06-21,27.6,23.1,42794.88
2011-06-22,28.4,23.0,42794.91
2011-06-23,28.4,23.9,42795.19
2011-06-24,27.9,23.2,42795.72
2011-06-25,28.0,23.4,42796.49
2011-06-26,28.1,24.1,42797.52
2011-06-27,27.8,24.1,42798.79
2011-06-28,29.0,24.0,42800.30
2011-06-29,29.7,23.2,42802.07
2011-06-30,29.4,23.7,42804.08
2011-07-01,28.7,24.2,42806.37
2011-07-02,30.0,24.0,42808.93
2011-07-03,29.4,23.7,42811.75
2011-07-04,28.0,24.3,42814.83
2011-07-05,28.7,23.9,42818.17
2011-07-06,28.7,23.2,42821.75
2011-07-07,29.0,23.7,42825.57
2011-07-08,27.7,23.2,42829.64
2011-07-09,26.9,23.3,42833.93
2011-07-10,27.9,23.6,42838.45
2011-07-11,27.0,22.9,42843.19
2011-07-12,28.8,23.2,42848.14
2011-07-13,27.9,23.6,42853.30
2011-07-14,27.7,23.0,42858.66
2011-07-15,27.1,22.7,42864.22
2011-07-16,29.4,22.9,42869.97
2011-07-17,29.0,23.1,42875.90
2011-07-18,28.7,23.4,42882.01
2011-07-19,27.8,23.8,42888.29
2011-07-20,27.4,22.6,42894.75
2011-07-21,28.8,23.1,42901.44
2011-07-22,28.5,23.3,42908.37
2011-07-23,28.5,23.8,42915.53
2011-07-24,28.7,22.9,42922.91
2011-07-25,28.2,22.7,42930.49
2011-07-26,29.0,22.8,42938.28
2011-07-27,27.7,23.5,42946.27
2011-07-28,26.6,23.3,42954.43
2011-07-29,28.7,22.5,42962.77
2011-07-30,29.3,22.2,42971.27
2011-07-31,27.5,22.4,42979.93
2011-08-01,28.3,22.8,42988.74
2011-08-02,28.3,22.7,42997.69
2011-08-03,28.3,23.0,43006.77
2011-08-04,26.6,23.1,43015.96
2011-08-05,27.5,21.8,43025.28
2011-08-06,27.7,22.2,43034.71
2011-08-07,28.2,22.4,43044.23
2011-08-08,27.9,22.5,43053.84
2011-08-09,27.5,22.6,43063.55
2011-08-10,27.9,22.9,43073.42
2011-08-11,26.4,23.0,43083.46
2011-08-12,27.3,22.7,43093.68
2011-08-13,27.5,22.0,43104.05
2011-08-14,27.1,22.5,43114.58
2011-08-15,28.0,22.9,43125.25
2011-08-16,28.0,23.1,43136.04
2011-08-17,27.5,23.1,43146.96
2011-08-18,26.9,23.0,43157.98
2011-08-19,28.0,22.5,43169.12
2011-08-20,28.3,22.9,43180.35
