Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2011_31-12-2012,,,,,,,,,,,,,,,,,,,,,,,
Comunidades autónomas,Castilla- La Mancha,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/2011,02/2011,03/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012
Demanda,"1151079,404","1039329,384","1092285,257","895004,912","942660,376","984581,167","1122404,761","1098090,796","966134,287","898357,346","952034,378","1086325,969","1110101,866","1144602,643","1013664,336","918415,286","965788,197","1015586,236","1086911,293","1088752,991","898491,113","861544,156","925522,402","1048714,82"
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2011 - 31/12/2012,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,09/07/2024 - 15:54:05,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
