Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-01-2024,,,,,,,,,,,,
Comunidades autónomas,Castilla- La Mancha,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024
Demanda,"1027519,195","960424,777","981522,517","918519,221","925781,577","883589,858","1079470,599","1073977,729","881309,115","884290,549","942604,793","1043730,568","1040760,144"
 ,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 31/01/2024,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha exportación,16/07/2024 - 16:15:05,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,
