latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-4.745167,41.635166,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,27.5,27.0,44606.34
2011-01-02,27.7,26.9,44602.14
2011-01-03,27.7,27.1,44597.50
2011-01-04,27.5,27.0,44592.46
2011-01-05,28.0,27.4,44587.01
2011-01-06,27.8,27.2,44581.17
2011-01-07,27.9,27.2,44574.96
2011-01-08,27.8,26.9,44568.38
2011-01-09,27.8,27.1,44561.45
2011-01-10,28.0,27.5,44554.18
2011-01-11,28.2,27.5,44546.58
2011-01-12,27.8,27.4,44538.67
2011-01-13,27.8,27.1,44530.46
2011-01-14,27.6,27.2,44521.97
2011-01-15,27.9,27.0,44513.19
2011-01-16,27.5,27.1,44504.15
2011-01-17,28.0,27.0,44494.86
2011-01-18,28.1,27.6,44485.33
2011-01-19,27.5,27.0,44475.57
2011-01-20,27.5,26.7,44465.59
2011-01-21,27.8,27.0,44455.40
2011-01-22,27.6,27.1,44444.88
2011-01-23,28.5,27.4,44434.02
2011-01-24,28.1,27.3,44422.83
2011-01-25,27.6,27.2,44411.35
2011-01-26,27.8,27.1,44399.58
2011-01-27,27.7,27.0,44387.55
2011-01-28,27.9,27.0,44375.28
2011-01-29,27.9,26.8,44362.77
2011-01-30,27.5,27.0,44350.05
2011-01-31,28.1,27.1,44337.13
2011-02-01,27.6,27.0,44324.03
2011-02-02,27.5,26.9,44310.77
2011-02-03,27.5,26.9,44297.37
2011-02-04,28.0,27.0,44283.84
2011-02-05,27.6,26.8,44270.18
2011-02-06,27.5,26.9,44256.43
2011-02-07,27.5,27.0,44242.61
2011-02-08,27.5,26.8,44228.70
2011-02-09,27.2,26.8,44214.75
2011-02-10,27.1,26.5,44200.73
2011-02-11,27.4,26.5,44186.54
2011-02-12,27.5,26.5,44172.14
2011-02-13,27.5,26.5,44157.55
2011-02-14,28.2,27.2,44142.79
2011-02-15,27.8,27.4,44127.88
2011-02-16,27.8,27.2,44112.83
2011-02-17,28.0,27.5,44097.65
2011-02-18,27.8,27.4,44082.37
2011-02-19,27.6,27.2,44067.00
2011-02-20,27.9,27.1,44051.54
2011-02-21,27.9,27.0,44036.02
2011-02-22,27.7,27.1,44020.46
2011-02-23,27.5,26.8,44004.86
2011-02-24,27.6,26.9,43989.23
2011-02-25,27.2,26.5,43973.59
2011-02-26,27.7,27.0,43957.96
2011-02-27,27.9,27.2,43942.35
2011-02-28,27.8,27.0,43926.77
2011-03-01,27.2,26.9,43911.23
2011-03-02,27.7,27.0,43895.73
2011-03-03,28.1,27.1,43880.14
2011-03-04,28.1,27.8,43864.46
2011-03-05,28.0,27.2,43848.70
2011-03-06,28.1,27.4,43832.86
2011-03-07,28.0,27.3,43816.95
2011-03-08,27.8,27.3,43800.99
2011-03-09,28.0,27.0,43785.00
2011-03-10,27.8,27.0,43768.98
2011-03-11,28.0,27.1,43752.95
2011-03-12,28.0,27.4,43736.91
2011-03-13,27.9,27.0,43720.88
2011-03-14,27.9,27.0,43704.87
2011-03-15,28.1,27.4,43688.89
2011-03-16,28.5,27.5,43672.95
2011-03-17,28.5,27.6,43657.06
2011-03-18,28.2,27.1,43641.24
2011-03-19,27.9,27.4,43625.49
2011-03-20,27.7,27.1,43609.83
2011-03-21,28.2,27.0,43594.26
2011-03-22,28.4,26.6,43578.79
2011-03-23,28.2,27.0,43563.29
2011-03-24,28.6,28.1,43547.77
2011-03-25,28.4,27.9,43532.21
2011-03-26,28.6,28.0,43516.65
2011-03-27,28.7,27.1,43501.09
2011-03-28,28.8,27.9,43485.53
2011-03-29,28.7,28.0,43469.99
2011-03-30,28.2,26.8,43454.48
2011-03-31,28.2,26.4,43439.00
2011-04-01,27.9,26.5,43423.57
2011-04-02,27.8,26.0,43408.20
2011-04-03,27.9,26.5,43392.91
2011-04-04,28.2,26.4,43377.68
2011-04-05,27.6,25.7,43362.55
2011-04-06,28.2,26.2,43347.51
2011-04-07,28.7,26.6,43332.59
2011-04-08,27.9,25.7,43317.78
2011-04-09,27.6,26.2,43303.10
2011-04-10,28.5,27.5,43288.57
2011-04-11,29.0,28.0,43274.17
2011-04-12,28.8,26.3,43259.81
2011-04-13,28.0,25.9,43245.47
2011-04-14,28.1,26.5,43231.16
2011-04-15,27.6,26.2,43216.90
2011-04-16,27.8,25.9,43202.68
2011-04-17,28.3,26.0,43188.53
2011-04-18,27.9,25.3,43174.45
2011-04-19,28.3,26.1,43160.45
2011-04-20,27.9,26.0,43146.54
2011-04-21,28.0,25.9,43132.73
2011-04-22,28.2,26.6,43119.04
2011-04-23,27.6,25.9,43105.46
2011-04-24,27.2,26.0,43092.02
2011-04-25,27.0,26.1,43078.73
2011-04-26,27.9,26.0,43065.58
2011-04-27,28.7,27.8,43052.61
2011-04-28,28.9,27.4,43039.81
2011-04-29,28.5,26.2,43027.20
2011-04-30,28.3,26.2,43014.79
2011-05-01,28.7,26.7,43002.58
2011-05-02,28.1,25.6,42990.48
2011-05-03,27.0,25.6,42978.46
2011-05-04,27.4,25.5,42966.56
2011-05-05,27.5,25.5,42954.76
2011-05-06,27.2,25.5,42943.09
2011-05-07,27.3,25.6,42931.55
2011-05-08,27.5,26.2,42920.15
2011-05-09,27.9,26.8,42908.90
2011-05-10,26.9,25.5,42897.82
2011-05-11,27.6,25.8,42886.91
2011-05-12,27.6,26.3,42876.18
2011-05-13,27.5,25.9,42865.66
2011-05-14,27.5,26.5,42855.33
2011-05-15,27.8,25.9,42845.22
2011-05-16,26.8,25.7,42835.34
2011-05-17,27.8,26.1,42825.70
2011-05-18,27.8,27.0,42816.30
2011-05-19,27.4,26.9,42807.17
2011-05-20,27.2,26.2,42798.31
2011-05-21,27.3,26.8,42789.73
2011-05-22,27.0,25.4,42781.34
2011-05-23,27.0,26.1,42773.15
2011-05-24,27.6,26.8,42765.16
2011-05-25,27.5,26.4,42757.38
2011-05-26,27.4,25.4,42749.81
2011-05-27,27.5,26.3,42742.46
2011-05-28,27.4,26.8,42735.34
2011-05-29,27.5,25.9,42728.46
2011-05-30,27.4,26.1,42721.82
2011-05-31,27.5,26.9,42715.43
2011-06-01,27.5,26.5,42709.30
2011-06-02,27.5,26.5,42703.45
2011-06-03,26.4,25.4,42697.86
2011-06-04,27.3,26.6,42692.55
2011-06-05,27.0,25.8,42687.53
2011-06-06,27.2,25.5,42682.82
2011-06-07,27.4,26.2,42678.40
2011-06-08,27.0,25.9,42674.29
2011-06-09,26.9,26.6,42670.52
2011-06-10,27.3,26.7,42667.05
2011-06-11,27.5,26.4,42663.89
2011-06-12,27.2,26.5,42661.01
2011-06-13,27.2,26.2,42658.42
2011-06-14,27.2,26.2,42656.12
2011-06-15,27.0,26.4,42654.11
2011-06-16,26.5,26.2,42652.39
2011-06-17,26.8,25.8,42650.96
2011-06-18,26.8,25.6,42649.83
2011-06-19,26.4,25.0,42648.99
2011-06-20,26.3,24.7,42648.44
2011-06-21,26.8,25.9,42648.19
2011-06-22,26.6,25.3,42648.23
2011-06-23,26.4,25.4,42648.56
2011-06-24,26.6,25.2,42649.19
2011-06-25,26.6,26.0,42650.11
2011-06-26,26.3,26.0,42651.33
2011-06-27,26.5,25.5,42652.84
2011-06-28,26.2,25.2,42654.65
2011-06-29,26.5,25.1,42656.75
2011-06-30,26.1,24.5,42659.15
2011-07-01,26.6,26.0,42661.87
2011-07-02,26.5,25.8,42664.91
2011-07-03,26.1,25.9,42668.27
2011-07-04,26.2,24.2,42671.93
2011-07-05,25.6,24.0,42675.90
2011-07-06,26.0,24.4,42680.17
2011-07-07,26.1,25.5,42684.72
2011-07-08,26.4,24.5,42689.55
2011-07-09,25.5,24.5,42694.66
2011-07-10,25.8,24.0,42700.04
2011-07-11,25.9,23.5,42705.67
2011-07-12,25.6,24.0,42711.56
2011-07-13,25.7,23.7,42717.70
2011-07-14,25.6,24.5,42724.07
2011-07-15,25.1,24.6,42730.68
2011-07-16,25.5,24.3,42737.51
2011-07-17,25.8,25.0,42744.57
2011-07-18,26.1,25.5,42751.83
2011-07-19,26.0,25.3,42759.30
2011-07-20,25.8,25.2,42766.97
2011-07-21,25.5,24.2,42774.93
2011-07-22,25.8,24.0,42783.16
2011-07-23,25.5,24.5,42791.66
2011-07-24,25.6,24.5,42800.43
2011-07-25,25.6,24.6,42809.44
2011-07-26,25.9,25.3,42818.69
2011-07-27,26.0,25.5,42828.16
2011-07-28,25.8,25.2,42837.86
2011-07-29,25.4,24.3,42847.75
2011-07-30,25.1,24.0,42857.85
2011-07-31,25.6,24.1,42868.13
2011-08-01,25.9,25.0,42878.58
2011-08-02,25.7,24.4,42889.20
2011-08-03,25.5,24.3,42899.97
2011-08-04,25.6,24.0,42910.88
2011-08-05,25.6,24.9,42921.93
2011-08-06,25.6,24.1,42933.11
2011-08-07,25.9,25.2,42944.39
2011-08-08,25.6,24.4,42955.79
2011-08-09,25.6,24.2,42967.29
2011-08-10,25.4,25.1,42978.99
2011-08-11,25.5,25.1,42990.89
2011-08-12,25.5,24.9,43003.00
