latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2.1441123,41.411484,231.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,35.0,23.3,43197.53
2011-01-02,34.6,22.6,43199.04
2011-01-03,34.5,23.5,43200.70
2011-01-04,35.2,22.6,43202.50
2011-01-05,36.2,22.2,43204.46
2011-01-06,36.6,22.0,43206.55
2011-01-07,35.9,22.1,43208.79
2011-01-08,35.8,21.7,43211.16
2011-01-09,36.5,21.9,43213.65
2011-01-10,36.7,23.1,43216.28
2011-01-11,37.4,23.4,43219.02
2011-01-12,36.5,23.6,43221.89
2011-01-13,36.9,23.0,43224.86
2011-01-14,37.1,22.9,43227.95
2011-01-15,36.2,22.8,43231.14
2011-01-16,36.3,22.5,43234.44
2011-01-17,37.2,22.8,43237.84
2011-01-18,36.1,22.3,43241.32
2011-01-19,35.9,22.3,43244.90
2011-01-20,36.6,22.9,43248.57
2011-01-21,36.9,23.4,43252.32
2011-01-22,36.5,24.0,43256.21
2011-01-23,37.1,26.3,43260.23
2011-01-24,36.7,23.8,43264.38
2011-01-25,36.1,22.6,43268.64
2011-01-26,37.1,21.6,43273.03
2011-01-27,37.9,23.2,43277.53
2011-01-28,37.0,24.1,43282.12
2011-01-29,37.1,24.5,43286.82
2011-01-30,38.8,24.8,43291.62
2011-01-31,37.9,24.3,43296.50
2011-02-01,36.9,22.9,43301.46
2011-02-02,36.7,23.4,43306.50
2011-02-03,37.3,23.4,43311.60
2011-02-04,36.6,22.4,43316.77
2011-02-05,37.1,22.1,43322.01
2011-02-06,38.0,21.5,43327.30
2011-02-07,38.4,21.4,43332.63
2011-02-08,38.2,21.6,43338.01
2011-02-09,39.2,20.4,43343.43
2011-02-10,36.9,21.9,43348.89
2011-02-11,38.4,22.2,43354.43
2011-02-12,38.4,22.7,43360.09
2011-02-13,37.2,23.4,43365.82
2011-02-14,36.2,23.3,43371.64
2011-02-15,37.6,24.3,43377.55
2011-02-16,37.0,25.6,43383.54
2011-02-17,39.2,25.0,43389.59
2011-02-18,38.4,25.0,43395.70
2011-02-19,38.7,23.6,43401.88
2011-02-20,38.6,23.5,43408.11
2011-02-21,37.8,23.8,43414.39
2011-02-22,35.7,24.0,43420.71
2011-02-23,36.0,23.2,43427.08
2011-02-24,37.0,23.5,43433.47
2011-02-25,38.4,23.0,43439.89
2011-02-26,37.4,22.9,43446.34
2011-02-27,36.5,23.4,43452.80
2011-02-28,36.7,23.7,43459.27
2011-03-01,36.9,23.4,43465.75
2011-03-02,36.9,22.7,43472.25
2011-03-03,37.7,23.3,43478.79
2011-03-04,37.2,23.5,43485.41
2011-03-05,36.8,22.6,43492.08
2011-03-06,36.6,23.1,43498.82
2011-03-07,37.0,23.2,43505.61
2011-03-08,38.0,23.6,43512.44
2011-03-09,38.7,24.1,43519.32
2011-03-10,37.8,23.5,43526.24
2011-03-11,36.9,24.0,43533.19
2011-03-12,36.8,24.4,43540.17
2011-03-13,36.7,25.0,43547.18
2011-03-14,36.2,24.3,43554.20
2011-03-15,36.2,23.5,43561.24
2011-03-16,37.0,23.4,43568.29
2011-03-17,36.6,24.4,43575.34
2011-03-18,37.1,23.9,43582.39
2011-03-19,37.0,23.9,43589.44
2011-03-20,37.5,23.9,43596.48
2011-03-21,37.1,23.6,43603.50
2011-03-22,37.3,23.8,43610.50
2011-03-23,37.4,24.1,43617.54
2011-03-24,37.0,24.6,43624.62
2011-03-25,37.9,25.1,43631.75
2011-03-26,37.8,25.0,43638.90
2011-03-27,36.5,25.3,43646.08
2011-03-28,36.8,24.0,43653.29
2011-03-29,37.4,24.9,43660.52
2011-03-30,36.7,24.7,43667.76
2011-03-31,37.3,24.9,43675.01
2011-04-01,37.1,25.0,43682.27
2011-04-02,36.7,25.4,43689.52
2011-04-03,37.2,24.5,43696.77
2011-04-04,37.6,24.9,43704.02
2011-04-05,37.8,24.6,43711.24
2011-04-06,36.9,25.1,43718.45
2011-04-07,37.2,23.7,43725.63
2011-04-08,36.4,24.0,43732.77
2011-04-09,36.7,25.2,43739.89
2011-04-10,37.3,25.1,43746.95
2011-04-11,37.2,24.8,43753.97
2011-04-12,37.2,25.1,43761.00
2011-04-13,37.1,24.9,43768.04
2011-04-14,37.0,24.9,43775.10
2011-04-15,35.4,25.3,43782.15
2011-04-16,35.7,25.2,43789.20
2011-04-17,36.8,25.3,43796.25
2011-04-18,35.9,25.6,43803.29
2011-04-19,35.9,25.4,43810.30
2011-04-20,34.9,25.5,43817.29
2011-04-21,35.8,25.7,43824.26
2011-04-22,35.0,25.5,43831.19
2011-04-23,34.9,25.6,43838.08
2011-04-24,34.9,26.0,43844.93
2011-04-25,34.5,24.6,43851.71
2011-04-26,34.8,25.0,43858.45
2011-04-27,33.9,24.9,43865.11
2011-04-28,31.8,25.4,43871.70
2011-04-29,34.5,24.1,43878.22
2011-04-30,35.2,24.3,43884.65
2011-05-01,35.7,24.7,43891.00
2011-05-02,35.4,25.2,43897.30
2011-05-03,35.3,26.0,43903.58
2011-05-04,32.0,25.2,43909.82
2011-05-05,33.7,24.2,43916.01
2011-05-06,32.7,23.7,43922.16
2011-05-07,33.0,24.5,43928.25
2011-05-08,33.7,24.0,43934.29
2011-05-09,32.7,24.3,43940.25
2011-05-10,32.6,24.1,43946.15
2011-05-11,33.9,23.8,43951.96
2011-05-12,35.1,23.5,43957.69
2011-05-13,34.7,24.5,43963.33
2011-05-14,34.0,24.7,43968.87
2011-05-15,34.9,24.5,43974.31
2011-05-16,35.2,24.1,43979.63
2011-05-17,33.7,24.6,43984.84
2011-05-18,35.0,24.2,43989.92
2011-05-19,32.6,24.8,43994.88
2011-05-20,33.8,24.2,43999.68
2011-05-21,33.3,23.8,44004.36
2011-05-22,33.4,23.9,44008.92
2011-05-23,34.0,24.8,44013.40
2011-05-24,32.6,24.5,44017.77
2011-05-25,33.3,24.4,44022.03
2011-05-26,35.4,24.5,44026.18
2011-05-27,34.9,23.9,44030.22
2011-05-28,34.2,24.5,44034.13
2011-05-29,35.1,23.9,44037.93
2011-05-30,34.9,23.5,44041.59
2011-05-31,33.8,23.9,44045.12
2011-06-01,34.8,23.6,44048.51
2011-06-02,34.9,23.4,44051.75
2011-06-03,33.2,23.4,44054.85
2011-06-04,33.5,24.6,44057.80
2011-06-05,33.5,23.2,44060.59
2011-06-06,32.9,23.9,44063.21
2011-06-07,34.8,24.0,44065.66
2011-06-08,34.0,23.6,44067.95
2011-06-09,33.0,23.9,44070.06
2011-06-10,33.5,23.3,44071.99
2011-06-11,34.4,23.4,44073.76
