latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-5.3075566,35.880894,1176.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,28.9,17.6,44722.43
2011-01-02,28.0,18.3,44717.76
2011-01-03,29.4,16.5,44712.60
2011-01-04,29.6,16.9,44706.99
2011-01-05,29.8,17.2,44700.93
2011-01-06,29.5,19.2,44694.44
2011-01-07,26.2,18.2,44687.53
2011-01-08,26.9,17.6,44680.22
2011-01-09,24.7,17.1,44672.51
2011-01-10,26.5,17.6,44664.43
2011-01-11,26.9,17.4,44655.98
2011-01-12,24.7,17.4,44647.19
2011-01-13,24.4,17.6,44638.05
2011-01-14,25.5,17.0,44628.61
2011-01-15,26.1,16.8,44618.84
2011-01-16,26.9,17.3,44608.79
2011-01-17,27.1,16.5,44598.45
2011-01-18,26.8,18.4,44587.84
2011-01-19,26.8,17.0,44576.99
2011-01-20,27.1,14.3,44565.89
2011-01-21,26.8,15.3,44554.55
2011-01-22,28.1,16.9,44542.84
2011-01-23,28.7,15.8,44530.75
2011-01-24,28.6,17.9,44518.31
2011-01-25,29.2,17.0,44505.53
2011-01-26,31.1,16.0,44492.44
2011-01-27,31.2,15.2,44479.05
2011-01-28,31.0,15.9,44465.38
2011-01-29,31.8,15.5,44451.45
2011-01-30,30.6,16.2,44437.29
2011-01-31,30.0,18.6,44422.91
2011-02-01,29.2,18.2,44408.33
2011-02-02,29.9,16.8,44393.57
2011-02-03,30.1,17.7,44378.64
2011-02-04,29.8,18.2,44363.57
2011-02-05,31.1,16.7,44348.36
2011-02-06,29.2,17.2,44333.05
2011-02-07,29.8,19.0,44317.64
2011-02-08,30.1,18.7,44302.15
2011-02-09,25.3,18.9,44286.60
2011-02-10,27.8,18.0,44270.99
2011-02-11,27.5,18.4,44255.17
2011-02-12,25.5,18.2,44239.12
2011-02-13,25.5,17.3,44222.86
2011-02-14,25.7,17.3,44206.41
2011-02-15,25.5,17.7,44189.78
2011-02-16,27.3,17.8,44173.00
2011-02-17,26.6,18.2,44156.08
2011-02-18,27.0,17.2,44139.04
2011-02-19,26.9,17.4,44121.90
2011-02-20,26.6,17.1,44104.66
2011-02-21,27.3,15.9,44087.35
2011-02-22,27.6,15.2,44069.99
2011-02-23,27.4,16.7,44052.58
2011-02-24,28.4,14.5,44035.14
2011-02-25,28.7,15.3,44017.69
2011-02-26,28.8,15.4,44000.25
2011-02-27,28.7,18.2,43982.82
2011-02-28,29.0,17.9,43965.43
2011-03-01,30.1,16.8,43948.08
2011-03-02,30.7,16.8,43930.77
2011-03-03,29.6,17.9,43913.37
2011-03-04,30.3,17.0,43895.86
2011-03-05,29.8,16.9,43878.25
2011-03-06,24.2,18.8,43860.55
2011-03-07,28.5,16.3,43842.78
2011-03-08,28.7,17.7,43824.95
2011-03-09,29.5,17.5,43807.08
2011-03-10,30.8,16.3,43789.18
2011-03-11,30.6,15.1,43771.25
2011-03-12,31.3,15.2,43753.33
2011-03-13,30.5,18.5,43735.40
2011-03-14,28.8,18.0,43717.50
2011-03-15,29.9,18.1,43699.63
2011-03-16,27.8,19.2,43681.80
2011-03-17,25.5,17.8,43664.03
2011-03-18,25.8,18.2,43646.33
2011-03-19,25.8,17.9,43628.71
2011-03-20,23.1,18.4,43611.18
2011-03-21,25.0,17.2,43593.76
2011-03-22,26.0,18.0,43576.44
2011-03-23,25.0,16.7,43559.09
2011-03-24,27.0,17.6,43541.71
2011-03-25,26.7,18.5,43524.30
2011-03-26,26.9,18.8,43506.87
2011-03-27,26.1,18.1,43489.44
2011-03-28,26.2,18.5,43472.01
2011-03-29,26.6,17.8,43454.60
2011-03-30,26.8,18.7,43437.22
2011-03-31,25.1,18.2,43419.88
2011-04-01,25.4,18.0,43402.59
2011-04-02,26.5,17.2,43385.36
2011-04-03,26.2,18.5,43368.21
2011-04-04,26.1,18.0,43351.14
2011-04-05,26.5,18.5,43334.17
2011-04-06,25.6,18.2,43317.31
2011-04-07,25.2,18.4,43300.57
2011-04-08,25.4,18.4,43283.96
2011-04-09,25.6,18.2,43267.49
2011-04-10,26.7,17.1,43251.19
2011-04-11,27.4,17.7,43235.03
2011-04-12,26.2,18.5,43218.91
2011-04-13,26.4,18.6,43202.82
2011-04-14,26.4,18.3,43186.76
2011-04-15,25.7,18.2,43170.74
2011-04-16,26.3,18.0,43154.78
2011-04-17,26.5,18.4,43138.89
2011-04-18,26.7,18.3,43123.07
2011-04-19,26.2,18.6,43107.34
2011-04-20,26.2,18.3,43091.72
2011-04-21,25.5,18.8,43076.20
2011-04-22,26.8,18.3,43060.82
2011-04-23,26.0,18.3,43045.56
2011-04-24,26.9,18.1,43030.46
2011-04-25,27.1,17.6,43015.51
2011-04-26,28.0,17.8,43000.74
2011-04-27,26.6,17.8,42986.15
2011-04-28,27.8,18.3,42971.76
2011-04-29,28.0,17.4,42957.58
2011-04-30,27.3,17.8,42943.62
2011-05-01,27.4,18.3,42929.89
2011-05-02,27.0,18.5,42916.27
2011-05-03,26.8,16.9,42902.76
2011-05-04,27.8,14.0,42889.36
2011-05-05,26.4,15.3,42876.09
2011-05-06,28.5,15.6,42862.95
2011-05-07,26.8,18.0,42849.96
2011-05-08,27.4,18.3,42837.14
2011-05-09,27.1,18.4,42824.48
2011-05-10,27.0,18.4,42812.00
2011-05-11,25.4,18.2,42799.71
2011-05-12,25.6,18.1,42787.64
2011-05-13,26.6,17.8,42775.78
2011-05-14,26.5,17.4,42764.15
