Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_30-06-2024,,,,,,,,,,,,,,,,,
Sistema eléctrico,Ceuta,,,,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024
Demanda,"16642,232","15700,243","15386,335","13780,955","14172,513","14999,305","17026,712","17061,02","15704,71","15703,419","14661,887","15417,852","15936,548","14655,159","15348,759","14359,996","14826,48","14871,21"
 ,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 30/06/2024,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Fecha exportación,08/08/2024 - 14:57:56,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,
