Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-08-2024,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024
Demanda,"21986,649025","20420,146371","20502,478044","18181,745519","19116,965590999996","19847,327651","22684,267241999998","21675,116642","19596,284758","19833,832527","19983,539977","21141,967169","22172,444796","20169,721344999998","20533,774824","19165,610253","19378,686868","19421,891718","22797,935133000003","10382,431277000002"
 ,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 30/06/2024,,,,,,,,,,,,,,,,,,,
 ,Programa: 01/07/2024 - 13/08/2024,,,,,,,,,,,,,,,,,,,
 ,Previsto: 14/08/2024 - 14/08/2024,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Fecha exportación,15/08/2024 - 15:11:18,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,
