Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-01-2024,,,,,,,,,,,,
Comunidades autónomas,Extremadura,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024
Demanda,"442676,722","404495,391","399112,191","341414,443","341659,083","381372,379","416035,901","484804,526","370020,846","375786,632","391953,037","429643,512","440820,706"
 ,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 31/01/2024,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha exportación,14/08/2024 - 19:44:04,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,
