latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.5413,42.871883,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,27.8,26.0,45396.20
2011-01-02,27.2,25.5,45388.79
2011-01-03,28.0,26.8,45380.63
2011-01-04,27.9,26.6,45371.73
2011-01-05,28.0,26.1,45362.14
2011-01-06,28.6,27.3,45351.85
2011-01-07,28.3,27.9,45340.90
2011-01-08,28.5,28.1,45329.31
2011-01-09,28.9,28.2,45317.10
2011-01-10,28.4,28.0,45304.29
2011-01-11,28.5,27.6,45290.89
2011-01-12,28.3,25.6,45276.95
2011-01-13,27.8,25.9,45262.47
2011-01-14,27.9,26.2,45247.48
2011-01-15,28.4,27.5,45232.00
2011-01-16,28.2,27.5,45216.05
2011-01-17,28.6,27.6,45199.65
2011-01-18,28.1,27.6,45182.83
2011-01-19,28.6,27.9,45165.59
2011-01-20,28.6,27.9,45147.98
2011-01-21,28.1,27.1,45129.98
2011-01-22,29.0,27.5,45111.38
2011-01-23,28.9,28.4,45092.19
2011-01-24,29.2,28.5,45072.43
2011-01-25,28.6,28.1,45052.12
2011-01-26,28.9,28.5,45031.32
2011-01-27,28.5,28.1,45010.04
2011-01-28,28.8,27.8,44988.31
2011-01-29,28.5,27.8,44966.17
2011-01-30,28.4,27.5,44943.65
2011-01-31,28.4,27.6,44920.78
2011-02-01,27.8,26.6,44897.58
2011-02-02,28.0,27.4,44874.08
2011-02-03,27.6,25.9,44850.32
2011-02-04,27.4,26.3,44826.32
2011-02-05,27.5,25.5,44802.11
2011-02-06,28.2,27.1,44777.72
2011-02-07,28.1,27.2,44753.17
2011-02-08,28.0,27.8,44728.48
2011-02-09,28.1,27.5,44703.70
2011-02-10,28.2,27.6,44678.80
2011-02-11,28.3,27.4,44653.56
2011-02-12,28.1,27.4,44627.95
2011-02-13,28.1,26.0,44602.01
2011-02-14,28.2,25.9,44575.74
2011-02-15,28.1,27.0,44549.20
2011-02-16,28.4,26.0,44522.39
2011-02-17,28.4,27.7,44495.36
2011-02-18,28.4,27.9,44468.12
2011-02-19,28.0,27.7,44440.71
2011-02-20,28.1,27.5,44413.14
2011-02-21,28.2,27.4,44385.45
2011-02-22,27.8,27.0,44357.66
2011-02-23,28.1,27.2,44329.79
2011-02-24,28.1,26.9,44301.86
2011-02-25,28.2,27.5,44273.91
2011-02-26,28.2,27.6,44245.95
2011-02-27,28.2,27.6,44218.02
2011-02-28,28.0,27.2,44190.12
2011-03-01,28.0,27.0,44162.29
2011-03-02,27.7,26.1,44134.51
2011-03-03,27.5,26.0,44106.58
2011-03-04,27.1,25.4,44078.45
2011-03-05,28.0,25.5,44050.15
2011-03-06,27.9,26.1,44021.71
2011-03-07,28.7,27.6,43993.14
2011-03-08,28.3,27.9,43964.47
2011-03-09,28.0,27.5,43935.71
2011-03-10,27.8,26.3,43906.90
2011-03-11,28.2,26.3,43878.04
2011-03-12,28.0,26.5,43849.16
2011-03-13,28.0,26.2,43820.27
