latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2.6362038,39.550922,451.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,32.0,22.1,43097.18
2011-01-02,32.2,21.7,43099.10
2011-01-03,31.6,22.4,43101.21
2011-01-04,32.9,21.7,43103.50
2011-01-05,34.1,20.9,43105.98
2011-01-06,34.6,21.0,43108.64
2011-01-07,34.6,21.3,43111.48
2011-01-08,34.1,20.7,43114.49
2011-01-09,34.3,20.2,43117.66
2011-01-10,34.5,21.6,43120.99
2011-01-11,35.1,22.3,43124.47
2011-01-12,34.1,22.3,43128.10
2011-01-13,34.6,21.8,43131.88
2011-01-14,35.0,21.4,43135.79
2011-01-15,34.0,21.5,43139.84
2011-01-16,34.5,21.5,43144.02
2011-01-17,34.9,21.9,43148.32
2011-01-18,34.3,22.0,43152.73
2011-01-19,33.6,21.3,43157.27
2011-01-20,34.6,21.9,43161.91
2011-01-21,34.1,22.0,43166.66
2011-01-22,34.5,21.9,43171.57
2011-01-23,35.0,24.1,43176.65
2011-01-24,34.9,22.8,43181.89
2011-01-25,34.8,21.8,43187.28
2011-01-26,35.2,21.9,43192.82
2011-01-27,35.8,23.1,43198.49
2011-01-28,34.2,21.9,43204.30
2011-01-29,34.2,22.6,43210.22
2011-01-30,36.5,23.4,43216.27
2011-01-31,35.2,23.6,43222.41
2011-02-01,34.6,22.6,43228.67
2011-02-02,34.8,22.4,43235.01
2011-02-03,35.0,22.9,43241.44
2011-02-04,34.8,22.1,43247.95
2011-02-05,35.4,21.3,43254.53
2011-02-06,36.4,21.4,43261.18
2011-02-07,36.7,22.0,43267.88
2011-02-08,36.6,21.8,43274.64
2011-02-09,36.7,21.0,43281.44
2011-02-10,35.3,20.3,43288.29
2011-02-11,36.8,21.5,43295.24
2011-02-12,36.9,21.6,43302.32
2011-02-13,35.1,22.5,43309.51
2011-02-14,34.4,24.1,43316.80
2011-02-15,35.4,25.8,43324.20
2011-02-16,34.4,24.6,43331.68
2011-02-17,36.6,24.9,43339.25
2011-02-18,36.9,24.1,43346.89
2011-02-19,37.1,23.4,43354.61
2011-02-20,36.6,21.9,43362.39
