latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-2.4253075,42.48,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,26.5,26.1,44129.91
2011-01-02,26.2,25.6,44127.63
2011-01-03,26.6,25.9,44125.12
2011-01-04,26.5,25.9,44122.39
2011-01-05,26.5,26.0,44119.45
2011-01-06,26.9,26.2,44116.29
2011-01-07,27.0,26.1,44112.93
2011-01-08,26.8,26.1,44109.38
2011-01-09,27.0,26.0,44105.63
2011-01-10,26.8,26.5,44101.71
2011-01-11,26.9,26.5,44097.61
2011-01-12,27.0,26.2,44093.34
2011-01-13,26.7,25.8,44088.91
2011-01-14,26.8,26.1,44084.33
2011-01-15,26.9,26.2,44079.60
2011-01-16,26.9,26.0,44074.72
2011-01-17,27.0,26.2,44069.72
2011-01-18,26.4,25.9,44064.59
2011-01-19,26.4,25.7,44059.34
2011-01-20,26.4,25.5,44053.97
2011-01-21,26.6,26.1,44048.49
2011-01-22,27.1,26.0,44042.84
2011-01-23,26.9,26.5,44037.00
2011-01-24,26.7,26.2,44031.00
2011-01-25,26.7,26.0,44024.84
2011-01-26,26.6,26.0,44018.53
2011-01-27,26.7,25.9,44012.09
2011-01-28,26.4,26.1,44005.51
2011-01-29,26.4,25.9,43998.82
2011-01-30,26.5,25.9,43992.01
2011-01-31,26.2,25.5,43985.11
2011-02-01,25.8,25.2,43978.11
2011-02-02,26.0,25.4,43971.04
2011-02-03,26.2,25.5,43963.88
2011-02-04,26.4,25.5,43956.67
2011-02-05,26.5,25.1,43949.39
2011-02-06,26.1,25.8,43942.08
2011-02-07,26.1,25.8,43934.72
2011-02-08,26.0,25.9,43927.33
2011-02-09,26.1,25.5,43919.92
2011-02-10,26.0,25.4,43912.48
2011-02-11,26.1,25.1,43904.95
2011-02-12,26.5,25.1,43897.32
2011-02-13,26.5,25.8,43889.60
2011-02-14,26.2,25.9,43881.79
2011-02-15,26.6,26.1,43873.91
2011-02-16,26.6,26.1,43865.96
2011-02-17,26.6,26.2,43857.96
2011-02-18,26.4,26.0,43849.90
2011-02-19,26.6,25.8,43841.80
2011-02-20,26.5,26.1,43833.68
2011-02-21,26.5,26.0,43825.52
2011-02-22,26.6,26.0,43817.35
2011-02-23,26.2,25.5,43809.16
2011-02-24,25.8,25.0,43800.97
2011-02-25,26.1,25.4,43792.78
2011-02-26,26.1,25.8,43784.60
2011-02-27,26.6,26.0,43776.44
2011-02-28,26.2,25.9,43768.31
2011-03-01,26.3,25.8,43760.20
2011-03-02,26.4,25.9,43752.12
2011-03-03,27.2,25.9,43744.02
2011-03-04,26.9,26.5,43735.86
2011-03-05,26.7,26.0,43727.67
2011-03-06,27.1,26.3,43719.45
2011-03-07,27.0,26.5,43711.21
2011-03-08,26.8,26.2,43702.95
2011-03-09,27.0,26.0,43694.67
2011-03-10,26.8,26.1,43686.40
2011-03-11,27.0,26.1,43678.12
2011-03-12,26.9,26.0,43669.86
2011-03-13,27.0,26.4,43661.60
2011-03-14,27.2,26.5,43653.36
2011-03-15,27.1,26.5,43645.16
2011-03-16,27.0,26.4,43636.97
2011-03-17,27.4,26.9,43628.83
2011-03-18,27.1,26.8,43620.73
2011-03-19,27.1,26.4,43612.68
2011-03-20,27.3,26.7,43604.67
2011-03-21,27.5,26.9,43596.73
2011-03-22,27.5,26.5,43588.84
2011-03-23,28.2,27.6,43580.95
2011-03-24,28.6,27.8,43573.06
2011-03-25,28.5,27.9,43565.16
2011-03-26,28.4,27.9,43557.27
2011-03-27,28.6,27.8,43549.38
2011-03-28,28.8,28.0,43541.50
2011-03-29,28.8,28.1,43533.65
2011-03-30,28.4,27.4,43525.81
2011-03-31,28.2,27.9,43518.01
2011-04-01,28.2,27.7,43510.24
2011-04-02,28.5,27.8,43502.50
2011-04-03,28.3,27.9,43494.82
2011-04-04,28.4,27.7,43487.17
2011-04-05,28.2,27.6,43479.58
2011-04-06,28.7,27.9,43472.05
2011-04-07,28.5,27.2,43464.59
2011-04-08,28.1,25.8,43457.19
2011-04-09,28.4,27.4,43449.87
2011-04-10,28.2,27.5,43442.62
2011-04-11,29.0,27.8,43435.45
2011-04-12,29.6,28.4,43428.30
2011-04-13,28.6,28.0,43421.19
2011-04-14,28.5,27.5,43414.08
2011-04-15,28.4,27.7,43407.01
2011-04-16,28.3,27.1,43399.98
2011-04-17,28.1,27.0,43392.98
2011-04-18,28.6,27.9,43386.02
2011-04-19,28.5,27.8,43379.11
2011-04-20,28.9,27.7,43372.25
2011-04-21,28.6,27.1,43365.46
2011-04-22,28.5,27.5,43358.72
2011-04-23,28.4,26.4,43352.05
2011-04-24,28.7,28.0,43345.46
2011-04-25,28.1,27.3,43338.94
2011-04-26,28.4,27.5,43332.50
2011-04-27,28.4,27.6,43326.16
2011-04-28,28.6,27.2,43319.90
2011-04-29,28.5,26.8,43313.75
2011-04-30,28.5,26.4,43307.70
2011-05-01,28.2,26.4,43301.75
2011-05-02,28.0,26.2,43295.86
2011-05-03,27.0,25.9,43290.02
2011-05-04,27.5,25.7,43284.23
2011-05-05,27.4,25.6,43278.50
2011-05-06,27.3,25.6,43272.85
2011-05-07,27.4,25.9,43267.26
2011-05-08,27.1,26.0,43261.74
2011-05-09,28.2,26.8,43256.30
2011-05-10,28.2,27.6,43250.95
2011-05-11,27.9,27.2,43245.68
2011-05-12,27.9,26.3,43240.51
2011-05-13,27.5,25.9,43235.43
2011-05-14,27.8,27.1,43230.46
2011-05-15,28.2,26.0,43225.60
2011-05-16,26.5,25.8,43220.85
2011-05-17,27.9,26.0,43216.22
2011-05-18,27.5,26.4,43211.71
2011-05-19,27.5,27.0,43207.33
2011-05-20,27.3,26.9,43203.08
2011-05-21,27.6,27.0,43198.97
2011-05-22,27.5,26.5,43194.96
2011-05-23,27.5,26.2,43191.04
2011-05-24,27.7,27.1,43187.22
2011-05-25,27.5,26.6,43183.50
2011-05-26,27.3,26.0,43179.89
2011-05-27,27.6,26.0,43176.38
2011-05-28,27.5,26.8,43172.99
2011-05-29,27.7,26.9,43169.71
2011-05-30,27.5,26.6,43166.54
2011-05-31,27.5,27.1,43163.50
2011-06-01,27.3,26.9,43160.59
2011-06-02,27.6,25.7,43157.80
2011-06-03,27.2,25.5,43155.14
2011-06-04,27.2,25.9,43152.62
2011-06-05,27.2,26.8,43150.24
2011-06-06,27.4,26.6,43148.00
2011-06-07,27.5,25.9,43145.90
2011-06-08,26.8,26.0,43143.96
2011-06-09,27.2,26.0,43142.16
2011-06-10,27.5,26.4,43140.52
2011-06-11,27.0,25.9,43139.02
2011-06-12,27.2,26.9,43137.66
2011-06-13,27.2,26.6,43136.42
2011-06-14,27.4,26.4,43135.34
2011-06-15,26.9,25.8,43134.38
