latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-3.6906855,40.397724,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,27.7,27.0,44389.34
2011-01-02,27.8,26.8,44386.02
2011-01-03,27.8,27.2,44382.35
2011-01-04,28.0,27.2,44378.36
2011-01-05,27.8,27.4,44374.05
2011-01-06,27.7,27.4,44369.44
2011-01-07,27.6,27.2,44364.52
2011-01-08,27.8,27.1,44359.32
2011-01-09,27.8,27.4,44353.84
2011-01-10,27.9,27.5,44348.09
2011-01-11,28.0,27.4,44342.09
2011-01-12,27.7,27.3,44335.84
2011-01-13,27.7,27.1,44329.36
2011-01-14,27.4,26.9,44322.64
2011-01-15,27.5,27.0,44315.71
2011-01-16,27.1,27.0,44308.57
2011-01-17,27.3,26.5,44301.23
2011-01-18,27.2,26.9,44293.70
2011-01-19,27.1,26.5,44285.99
2011-01-20,27.5,26.5,44278.12
2011-01-21,27.4,27.0,44270.07
2011-01-22,27.2,26.7,44261.76
2011-01-23,28.1,27.1,44253.19
2011-01-24,27.5,26.4,44244.37
2011-01-25,27.4,26.9,44235.31
2011-01-26,27.4,26.9,44226.03
2011-01-27,27.0,26.5,44216.54
2011-01-28,27.1,26.6,44206.86
2011-01-29,27.0,26.3,44197.00
2011-01-30,27.0,26.5,44186.97
2011-01-31,27.3,26.7,44176.79
2011-02-01,27.0,26.1,44166.47
2011-02-02,27.1,26.5,44156.03
2011-02-03,27.2,26.5,44145.47
2011-02-04,27.4,26.7,44134.81
2011-02-05,27.5,26.3,44124.07
2011-02-06,27.3,26.8,44113.25
2011-02-07,27.1,26.6,44102.36
2011-02-08,27.1,26.8,44091.43
2011-02-09,27.0,26.8,44080.45
2011-02-10,27.4,26.5,44069.43
2011-02-11,27.5,26.5,44058.27
2011-02-12,27.6,26.8,44046.95
2011-02-13,28.0,26.9,44035.49
2011-02-14,28.1,26.2,44023.89
2011-02-15,27.8,27.1,44012.18
2011-02-16,27.8,26.8,44000.37
2011-02-17,27.8,27.2,43988.46
2011-02-18,27.4,27.1,43976.46
2011-02-19,27.2,27.0,43964.41
2011-02-20,27.4,26.8,43952.29
