Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-01-2024,,,,,,,,,,,,
Comunidades autónomas,Comunidad de Madrid,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024
Demanda,"2582358,518","2327725,935","2265854,374","1897999,269","2000961,266","2155463,039","2476210,644","2330887,581","2034557,114","2141799,435","2320371,574","2537655,306","2626644,83"
 ,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 31/01/2024,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fecha exportación,14/08/2024 - 19:36:59,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,
