latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-2.917399,35.261463,1522.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,27.5,15.0,44230.69
2011-01-02,26.7,14.8,44228.01
2011-01-03,27.9,15.0,44225.05
2011-01-04,28.8,15.4,44221.83
2011-01-05,27.7,14.7,44218.36
2011-01-06,27.8,16.6,44214.63
2011-01-07,25.8,15.5,44210.67
2011-01-08,27.2,14.8,44206.48
2011-01-09,26.4,15.5,44202.05
2011-01-10,25.8,15.3,44197.43
2011-01-11,25.3,15.7,44192.58
2011-01-12,25.3,15.7,44187.54
2011-01-13,21.0,15.5,44182.32
2011-01-14,25.1,14.9,44176.91
2011-01-15,25.8,13.6,44171.32
2011-01-16,25.1,14.2,44165.57
2011-01-17,26.2,14.3,44159.66
2011-01-18,26.0,14.6,44153.59
2011-01-19,26.6,14.2,44147.39
2011-01-20,26.6,13.8,44141.05
2011-01-21,27.3,13.4,44134.57
2011-01-22,26.0,15.1,44127.88
2011-01-23,26.1,14.7,44120.98
2011-01-24,25.4,16.0,44113.89
2011-01-25,27.6,15.3,44106.60
2011-01-26,28.1,14.6,44099.14
2011-01-27,28.6,15.8,44091.51
2011-01-28,28.0,15.0,44083.73
2011-01-29,29.0,14.5,44075.80
2011-01-30,29.6,14.9,44067.74
2011-01-31,28.0,17.6,44059.57
2011-02-01,28.1,15.8,44051.28
2011-02-02,27.4,15.0,44042.89
2011-02-03,28.4,14.8,44034.42
2011-02-04,28.7,15.6,44025.87
2011-02-05,28.4,15.4,44017.25
2011-02-06,29.3,15.7,44008.57
2011-02-07,30.2,16.0,43999.84
2011-02-08,29.9,16.7,43991.07
2011-02-09,28.8,15.8,43982.27
2011-02-10,28.1,17.5,43973.45
2011-02-11,29.4,17.9,43964.51
2011-02-12,26.6,16.6,43955.45
2011-02-13,24.3,16.4,43946.27
2011-02-14,25.5,15.0,43936.99
2011-02-15,25.1,16.3,43927.62
2011-02-16,26.2,16.0,43918.17
2011-02-17,27.6,15.1,43908.65
2011-02-18,27.1,15.9,43899.06
2011-02-19,27.2,15.6,43889.43
2011-02-20,27.4,15.9,43879.75
2011-02-21,28.0,14.5,43870.03
2011-02-22,28.2,14.5,43860.29
2011-02-23,28.2,13.9,43850.53
2011-02-24,29.3,14.7,43840.77
2011-02-25,28.9,15.8,43831.01
2011-02-26,29.9,16.2,43821.25
2011-02-27,29.7,16.0,43811.51
2011-02-28,30.1,15.5,43801.80
2011-03-01,29.4,16.1,43792.12
2011-03-02,30.3,17.0,43782.47
2011-03-03,29.9,16.8,43772.78
2011-03-04,29.8,15.7,43763.03
2011-03-05,29.8,15.6,43753.24
2011-03-06,28.1,17.1,43743.41
2011-03-07,27.2,15.2,43733.54
2011-03-08,29.5,16.9,43723.65
2011-03-09,30.0,17.4,43713.75
2011-03-10,30.2,17.0,43703.82
2011-03-11,31.1,15.1,43693.91
2011-03-12,30.8,14.4,43684.00
2011-03-13,29.9,18.9,43674.10
2011-03-14,28.0,17.3,43664.22
2011-03-15,28.2,16.5,43654.36
2011-03-16,24.4,16.5,43644.54
2011-03-17,24.3,14.8,43634.76
2011-03-18,26.2,15.2,43625.02
2011-03-19,22.2,15.3,43615.34
2011-03-20,23.4,15.5,43605.71
2011-03-21,23.3,15.3,43596.15
2011-03-22,23.3,14.7,43586.66
2011-03-23,24.8,13.6,43577.16
2011-03-24,25.7,14.4,43567.65
2011-03-25,27.3,15.2,43558.13
2011-03-26,26.3,15.2,43548.61
2011-03-27,26.0,15.3,43539.10
2011-03-28,26.6,15.5,43529.60
2011-03-29,27.2,14.7,43520.11
2011-03-30,27.0,15.7,43510.66
2011-03-31,25.5,16.8,43501.22
2011-04-01,23.6,15.9,43491.84
2011-04-02,25.7,14.5,43482.48
2011-04-03,26.7,14.7,43473.18
2011-04-04,26.3,15.6,43463.93
2011-04-05,26.7,15.6,43454.75
2011-04-06,26.5,16.0,43445.63
2011-04-07,27.2,15.6,43436.58
2011-04-08,25.7,15.2,43427.62
2011-04-09,27.1,14.3,43418.73
2011-04-10,27.5,13.9,43409.95
2011-04-11,28.1,13.8,43401.25
2011-04-12,28.2,14.5,43392.58
2011-04-13,28.5,14.5,43383.93
2011-04-14,27.5,14.7,43375.30
2011-04-15,27.2,15.6,43366.71
2011-04-16,26.3,15.8,43358.15
2011-04-17,26.4,15.4,43349.63
2011-04-18,27.5,15.1,43341.17
2011-04-19,27.6,15.3,43332.76
2011-04-20,27.2,16.1,43324.41
2011-04-21,27.5,14.3,43316.12
2011-04-22,26.8,15.1,43307.92
2011-04-23,27.2,15.9,43299.79
2011-04-24,26.7,15.5,43291.74
2011-04-25,27.8,16.2,43283.79
2011-04-26,26.1,16.1,43275.94
2011-04-27,27.4,15.5,43268.18
2011-04-28,27.5,14.5,43260.55
2011-04-29,26.4,14.5,43253.02
2011-04-30,27.9,14.2,43245.62
2011-05-01,28.5,15.6,43238.35
2011-05-02,27.0,15.5,43231.14
2011-05-03,27.3,14.7,43224.00
2011-05-04,28.0,15.7,43216.91
2011-05-05,26.1,16.7,43209.91
2011-05-06,27.3,15.3,43202.97
2011-05-07,28.0,15.9,43196.12
2011-05-08,26.9,15.6,43189.36
2011-05-09,27.2,15.5,43182.69
2011-05-10,26.8,16.2,43176.12
2011-05-11,25.9,16.0,43169.66
2011-05-12,27.7,15.1,43163.32
2011-05-13,27.7,14.9,43157.09
2011-05-14,27.8,15.4,43150.98
2011-05-15,28.9,13.5,43145.01
2011-05-16,28.8,14.9,43139.17
2011-05-17,27.8,15.3,43133.48
2011-05-18,27.6,16.2,43127.94
2011-05-19,27.4,15.4,43122.55
2011-05-20,26.4,15.4,43117.33
2011-05-21,26.1,14.6,43112.27
2011-05-22,27.6,15.5,43107.33
2011-05-23,27.5,14.8,43102.51
2011-05-24,26.8,15.0,43097.80
2011-05-25,26.9,14.5,43093.23
2011-05-26,27.2,14.0,43088.78
2011-05-27,28.0,14.2,43084.46
2011-05-28,27.6,14.7,43080.27
2011-05-29,28.4,13.9,43076.23
2011-05-30,29.0,12.5,43072.34
2011-05-31,29.3,12.7,43068.58
2011-06-01,29.1,12.5,43064.99
2011-06-02,27.8,12.7,43061.55
2011-06-03,26.7,12.8,43058.27
2011-06-04,27.0,12.5,43055.16
2011-06-05,26.9,13.5,43052.22
2011-06-06,25.8,15.3,43049.45
