latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-1.1599298,37.973186,1321.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,24.9,16.9,43871.25
2011-01-02,24.5,16.3,43870.02
2011-01-03,25.8,16.0,43868.66
2011-01-04,25.8,16.6,43867.20
2011-01-05,25.6,17.0,43865.61
2011-01-06,26.5,16.7,43863.91
2011-01-07,26.4,16.4,43862.10
2011-01-08,26.6,15.6,43860.19
2011-01-09,27.5,15.5,43858.17
2011-01-10,28.0,16.9,43856.06
2011-01-11,27.5,17.7,43853.86
2011-01-12,25.8,18.0,43851.57
2011-01-13,25.4,17.5,43849.20
2011-01-14,26.4,17.0,43846.74
2011-01-15,25.4,16.2,43844.20
2011-01-16,27.0,15.7,43841.60
2011-01-17,27.3,16.0,43838.92
2011-01-18,25.9,17.1,43836.18
2011-01-19,27.9,15.6,43833.38
2011-01-20,28.9,15.4,43830.52
2011-01-21,26.8,16.1,43827.60
2011-01-22,25.4,16.7,43824.58
2011-01-23,25.2,16.9,43821.48
2011-01-24,23.8,16.7,43818.29
2011-01-25,26.6,14.5,43815.02
2011-01-26,27.3,15.9,43811.68
2011-01-27,27.0,15.1,43808.27
2011-01-28,26.7,15.5,43804.79
2011-01-29,28.1,16.5,43801.25
2011-01-30,29.0,17.3,43797.66
2011-01-31,26.8,18.4,43794.02
2011-02-01,28.2,17.8,43790.34
2011-02-02,29.0,15.5,43786.62
2011-02-03,28.9,16.5,43782.87
2011-02-04,26.6,17.1,43779.09
2011-02-05,28.1,16.9,43775.29
2011-02-06,29.4,17.0,43771.46
2011-02-07,29.1,15.6,43767.62
2011-02-08,29.5,16.0,43763.77
2011-02-09,29.8,16.6,43759.91
2011-02-10,31.3,17.1,43756.05
2011-02-11,32.1,17.1,43752.15
2011-02-12,30.9,16.9,43748.20
2011-02-13,30.1,18.4,43744.20
2011-02-14,29.5,17.7,43740.18
2011-02-15,28.5,16.8,43736.12
2011-02-16,25.4,17.0,43732.03
2011-02-17,26.5,17.6,43727.92
2011-02-18,26.1,17.0,43723.79
2011-02-19,26.8,17.5,43719.65
2011-02-20,26.8,16.6,43715.50
2011-02-21,26.7,16.3,43711.34
2011-02-22,27.8,16.2,43707.19
2011-02-23,27.5,16.8,43703.03
2011-02-24,27.6,15.6,43698.88
2011-02-25,28.6,16.2,43694.75
2011-02-26,29.0,16.3,43690.62
2011-02-27,27.4,17.1,43686.51
2011-02-28,27.7,15.6,43682.42
2011-03-01,27.7,16.4,43678.36
2011-03-02,29.5,16.8,43674.32
2011-03-03,29.5,18.3,43670.27
2011-03-04,28.1,17.3,43666.21
2011-03-05,29.8,17.2,43662.14
2011-03-06,29.1,18.0,43658.07
2011-03-07,29.5,17.7,43653.98
2011-03-08,28.9,16.7,43649.91
2011-03-09,28.9,16.2,43645.84
2011-03-10,28.8,16.5,43641.77
2011-03-11,29.4,16.0,43637.71
2011-03-12,29.9,17.8,43633.67
2011-03-13,27.3,18.2,43629.64
2011-03-14,27.1,17.5,43625.63
2011-03-15,27.1,17.3,43621.65
2011-03-16,26.5,17.1,43617.69
2011-03-17,25.8,17.5,43613.75
2011-03-18,28.4,17.4,43609.85
2011-03-19,25.7,17.5,43605.98
2011-03-20,24.9,17.2,43602.15
2011-03-21,27.0,16.9,43598.35
2011-03-22,28.1,17.8,43594.59
2011-03-23,28.2,18.1,43590.84
2011-03-24,26.7,17.2,43587.09
2011-03-25,27.7,18.4,43583.35
2011-03-26,27.1,17.4,43579.63
2011-03-27,27.4,17.7,43575.92
2011-03-28,27.7,18.3,43572.22
2011-03-29,26.5,17.9,43568.54
2011-03-30,27.7,18.0,43564.88
2011-03-31,25.7,17.7,43561.25
2011-04-01,25.6,17.7,43557.64
2011-04-02,25.8,18.0,43554.06
2011-04-03,25.9,17.5,43550.51
2011-04-04,24.3,17.7,43546.99
2011-04-05,26.7,17.3,43543.50
2011-04-06,25.3,16.9,43540.06
2011-04-07,26.4,17.8,43536.65
2011-04-08,24.6,17.6,43533.28
2011-04-09,27.5,18.2,43529.96
2011-04-10,27.3,17.8,43526.68
2011-04-11,27.4,18.2,43523.43
2011-04-12,26.3,18.0,43520.22
2011-04-13,27.1,18.0,43517.02
2011-04-14,26.3,17.4,43513.84
2011-04-15,26.7,17.3,43510.68
2011-04-16,25.0,17.5,43507.55
2011-04-17,25.5,17.3,43504.44
2011-04-18,26.0,17.4,43501.36
2011-04-19,25.8,17.8,43498.30
2011-04-20,26.2,17.8,43495.29
2011-04-21,25.8,17.6,43492.30
2011-04-22,26.1,17.7,43489.35
2011-04-23,25.4,17.6,43486.44
2011-04-24,25.1,17.2,43483.56
2011-04-25,25.2,17.0,43480.73
2011-04-26,24.8,17.1,43477.95
2011-04-27,26.4,17.4,43475.20
2011-04-28,25.8,17.2,43472.50
2011-04-29,26.8,17.4,43469.86
2011-04-30,25.8,17.8,43467.27
2011-05-01,26.2,17.4,43464.72
2011-05-02,26.1,17.4,43462.21
2011-05-03,27.1,17.7,43459.73
2011-05-04,25.9,17.6,43457.27
2011-05-05,26.3,17.7,43454.85
2011-05-06,26.3,17.5,43452.46
2011-05-07,25.6,18.0,43450.11
2011-05-08,25.3,17.6,43447.79
2011-05-09,24.3,16.8,43445.50
2011-05-10,24.5,16.8,43443.27
2011-05-11,24.8,16.7,43441.07
2011-05-12,24.3,17.0,43438.91
2011-05-13,25.2,17.3,43436.81
2011-05-14,25.6,16.9,43434.75
2011-05-15,25.1,16.8,43432.74
2011-05-16,24.3,16.7,43430.78
2011-05-17,22.7,16.5,43428.87
2011-05-18,25.2,16.4,43427.02
2011-05-19,25.5,16.8,43425.22
2011-05-20,23.9,16.6,43423.48
2011-05-21,24.2,16.5,43421.81
2011-05-22,25.3,16.3,43420.17
2011-05-23,24.6,16.0,43418.58
2011-05-24,24.5,16.8,43417.03
2011-05-25,24.7,16.5,43415.52
2011-05-26,27.1,16.6,43414.05
2011-05-27,26.4,17.1,43412.64
2011-05-28,26.4,17.1,43411.27
2011-05-29,27.4,16.6,43409.95
2011-05-30,26.9,16.3,43408.68
2011-05-31,26.8,16.5,43407.45
2011-06-01,27.9,16.7,43406.29
2011-06-02,26.8,16.2,43405.17
2011-06-03,26.5,15.9,43404.11
2011-06-04,24.5,15.8,43403.10
2011-06-05,23.8,16.9,43402.14
2011-06-06,24.6,16.2,43401.25
2011-06-07,25.1,15.9,43400.41
2011-06-08,27.4,16.4,43399.64
2011-06-09,24.0,16.9,43398.93
2011-06-10,24.3,16.7,43398.28
2011-06-11,27.6,16.0,43397.68
2011-06-12,25.3,17.2,43397.14
2011-06-13,26.8,15.7,43396.65
2011-06-14,23.4,16.8,43396.22
2011-06-15,23.8,16.2,43395.84
2011-06-16,25.1,15.3,43395.52
2011-06-17,26.6,15.0,43395.25
2011-06-18,25.3,15.5,43395.04
2011-06-19,25.6,15.7,43394.88
2011-06-20,25.2,15.4,43394.78
2011-06-21,23.8,16.2,43394.73
2011-06-22,25.4,15.9,43394.73
2011-06-23,25.8,15.8,43394.80
2011-06-24,25.6,16.5,43394.92
2011-06-25,26.6,16.0,43395.09
2011-06-26,23.1,16.5,43395.32
2011-06-27,24.0,16.8,43395.60
2011-06-28,23.1,15.6,43395.94
2011-06-29,24.8,15.0,43396.34
2011-06-30,26.9,14.7,43396.79
2011-07-01,26.8,15.6,43397.30
2011-07-02,23.1,16.6,43397.87
2011-07-03,24.5,15.8,43398.50
2011-07-04,24.9,15.1,43399.19
2011-07-05,26.6,14.9,43399.95
2011-07-06,26.4,15.1,43400.75
2011-07-07,26.3,14.2,43401.61
2011-07-08,26.2,14.3,43402.53
2011-07-09,25.8,13.9,43403.50
2011-07-10,24.3,13.8,43404.52
2011-07-11,25.6,13.3,43405.59
2011-07-12,27.3,13.9,43406.71
2011-07-13,25.2,14.7,43407.89
2011-07-14,24.6,15.1,43409.11
2011-07-15,26.0,15.3,43410.37
2011-07-16,26.5,14.3,43411.69
2011-07-17,27.3,14.5,43413.05
2011-07-18,25.5,15.1,43414.45
2011-07-19,22.8,15.5,43415.89
2011-07-20,23.4,15.1,43417.38
2011-07-21,24.8,15.6,43418.92
2011-07-22,26.4,14.4,43420.53
2011-07-23,24.9,15.1,43422.18
2011-07-24,23.7,15.1,43423.90
2011-07-25,26.7,14.7,43425.67
2011-07-26,26.6,16.3,43427.49
2011-07-27,24.3,16.3,43429.36
2011-07-28,24.0,16.4,43431.28
2011-07-29,25.7,15.2,43433.24
2011-07-30,26.4,14.5,43435.25
2011-07-31,25.6,14.8,43437.30
2011-08-01,25.0,14.8,43439.39
2011-08-02,25.1,14.3,43441.53
2011-08-03,25.9,14.4,43443.70
2011-08-04,25.0,15.0,43445.91
2011-08-05,23.7,15.0,43448.15
2011-08-06,24.5,15.9,43450.42
2011-08-07,24.4,15.0,43452.72
2011-08-08,24.3,14.9,43455.06
2011-08-09,22.9,15.7,43457.42
2011-08-10,23.4,15.4,43459.83
2011-08-11,21.5,16.1,43462.30
2011-08-12,23.5,14.9,43464.81
2011-08-13,24.0,14.6,43467.37
2011-08-14,26.3,15.2,43469.98
2011-08-15,23.7,15.4,43472.62
2011-08-16,27.2,15.4,43475.32
2011-08-17,25.6,14.9,43478.05
2011-08-18,24.7,14.7,43480.82
2011-08-19,23.9,14.9,43483.62
2011-08-20,24.7,14.6,43486.46
2011-08-21,25.0,14.4,43489.34
2011-08-22,26.5,14.4,43492.24
2011-08-23,25.7,14.6,43495.17
2011-08-24,28.2,14.4,43498.13
2011-08-25,27.9,14.8,43501.11
2011-08-26,23.6,15.5,43504.12
2011-08-27,25.6,15.4,43507.14
2011-08-28,23.9,15.6,43510.19
2011-08-29,25.6,15.7,43513.25
2011-08-30,24.2,15.4,43516.36
2011-08-31,24.9,14.9,43519.51
2011-09-01,27.1,16.0,43522.71
2011-09-02,24.8,15.6,43525.94
2011-09-03,25.0,15.0,43529.21
2011-09-04,27.5,15.5,43532.52
2011-09-05,26.3,15.7,43535.86
2011-09-06,25.4,15.3,43539.24
2011-09-07,25.3,15.3,43542.64
2011-09-08,24.8,15.3,43546.08
2011-09-09,23.3,15.6,43549.54
2011-09-10,24.7,15.5,43553.03
2011-09-11,23.5,15.7,43556.54
2011-09-12,22.2,14.9,43560.07
2011-09-13,27.0,14.9,43563.62
2011-09-14,24.5,16.5,43567.18
2011-09-15,25.0,16.0,43570.76
2011-09-16,26.4,16.0,43574.34
2011-09-17,25.7,15.7,43577.95
2011-09-18,25.4,15.4,43581.55
2011-09-19,26.2,14.9,43585.20
2011-09-20,28.0,15.2,43588.88
2011-09-21,29.3,15.7,43592.59
2011-09-22,29.4,16.3,43596.34
2011-09-23,25.8,17.8,43600.13
2011-09-24,28.3,16.0,43603.94
2011-09-25,24.8,15.8,43607.78
2011-09-26,25.3,16.0,43611.64
2011-09-27,24.9,15.8,43615.52
2011-09-28,27.7,16.2,43619.43
2011-09-29,28.9,15.9,43623.35
2011-09-30,26.2,17.1,43627.29
2011-10-01,26.9,17.0,43631.23
2011-10-02,27.5,17.0,43635.19
2011-10-03,25.9,16.8,43639.14
2011-10-04,29.5,16.4,43643.11
2011-10-05,29.3,16.9,43647.07
2011-10-06,29.3,17.3,43651.04
2011-10-07,27.2,16.5,43654.99
2011-10-08,25.4,16.1,43658.94
2011-10-09,26.3,16.0,43662.91
2011-10-10,18.5,16.5,43666.91
2011-10-11,23.2,15.9,43670.94
2011-10-12,21.1,16.4,43674.99
2011-10-13,19.0,16.5,43679.05
2011-10-14,19.2,16.4,43683.13
2011-10-15,22.2,16.0,43687.22
2011-10-16,22.7,15.5,43691.33
2011-10-17,24.4,16.1,43695.44
2011-10-18,22.0,16.8,43699.54
2011-10-19,23.9,16.5,43703.66
2011-10-20,24.7,16.5,43707.76
2011-10-21,26.3,16.4,43711.85
2011-10-22,25.9,16.3,43715.93
2011-10-23,27.3,16.8,43720.00
2011-10-24,27.0,17.4,43724.04
2011-10-25,27.3,18.4,43728.05
2011-10-26,26.7,17.3,43732.04
2011-10-27,24.3,17.5,43736.00
2011-10-28,23.4,17.5,43739.92
2011-10-29,24.6,16.3,43743.83
2011-10-30,24.6,17.6,43747.76
2011-10-31,26.5,15.5,43751.68
2011-11-01,27.4,17.7,43755.60
2011-11-02,27.1,17.4,43759.51
2011-11-03,27.0,16.8,43763.41
2011-11-04,27.7,16.7,43767.30
2011-11-05,25.3,17.6,43771.16
2011-11-06,25.3,17.7,43774.99
2011-11-07,24.8,17.8,43778.80
2011-11-08,23.6,17.1,43782.57
2011-11-09,24.9,16.8,43786.30
2011-11-10,23.4,16.8,43789.99
2011-11-11,23.8,16.5,43793.62
2011-11-12,24.0,16.6,43797.20
2011-11-13,24.0,16.7,43800.72
2011-11-14,24.4,17.1,43804.18
2011-11-15,21.9,17.2,43807.55
2011-11-16,22.4,16.9,43810.86
2011-11-17,20.9,16.7,43814.09
2011-11-18,24.5,15.8,43817.26
2011-11-19,23.3,16.6,43820.41
2011-11-20,24.5,16.6,43823.50
2011-11-21,23.0,16.3,43826.54
2011-11-22,26.1,16.7,43829.54
2011-11-23,24.1,17.8,43832.47
2011-11-24,24.3,17.3,43835.34
2011-11-25,22.4,17.1,43838.15
2011-11-26,22.8,17.4,43840.88
2011-11-27,24.6,16.3,43843.55
2011-11-28,22.7,17.0,43846.12
2011-11-29,24.4,16.7,43848.62
2011-11-30,24.9,16.6,43851.03
2011-12-01,24.1,17.7,43853.34
2011-12-02,24.0,16.6,43855.55
2011-12-03,23.6,17.2,43857.66
2011-12-04,22.9,17.4,43859.67
2011-12-05,25.3,16.7,43861.55
2011-12-06,25.0,17.0,43863.33
2011-12-07,25.0,17.1,43864.98
2011-12-08,25.1,17.2,43866.53
2011-12-09,25.4,15.7,43867.98
2011-12-10,25.7,16.1,43869.34
2011-12-11,25.0,17.1,43870.59
2011-12-12,24.6,16.9,43871.75
2011-12-13,24.6,16.7,43872.80
2011-12-14,25.5,17.1,43873.75
2011-12-15,24.1,17.7,43874.59
2011-12-16,24.9,17.3,43875.32
2011-12-17,24.4,18.0,43875.95
2011-12-18,25.1,16.8,43876.46
2011-12-19,26.2,16.8,43876.86
2011-12-20,24.2,16.7,43877.16
2011-12-21,23.9,16.7,43877.34
2011-12-22,24.4,17.1,43877.39
2011-12-23,24.0,17.4,43877.34
2011-12-24,25.0,17.1,43877.17
2011-12-25,25.6,17.1,43876.88
2011-12-26,26.0,16.6,43876.47
2011-12-27,25.5,17.4,43875.94
2011-12-28,25.1,17.6,43875.29
2011-12-29,25.5,16.8,43874.51
2011-12-30,23.4,17.9,43873.61
2011-12-31,26.0,16.4,43872.59
2012-01-01,25.9,15.9,43871.45
2012-01-02,27.6,14.1,43870.20
2012-01-03,28.6,15.0,43868.84
2012-01-04,28.9,15.9,43867.37
2012-01-05,27.5,16.6,43865.80
2012-01-06,25.6,16.8,43864.13
2012-01-07,25.8,16.8,43862.35
2012-01-08,25.8,16.0,43860.48
2012-01-09,25.5,16.6,43858.53
2012-01-10,25.7,17.1,43856.48
2012-01-11,25.0,17.3,43854.34
2012-01-12,24.6,16.5,43852.13
2012-01-13,26.1,16.3,43849.83
2012-01-14,28.0,16.5,43847.46
2012-01-15,28.5,17.0,43845.01
2012-01-16,27.1,17.9,43842.49
2012-01-17,27.3,16.4,43839.86
2012-01-18,26.9,16.5,43837.14
2012-01-19,26.7,15.8,43834.31
2012-01-20,27.6,16.2,43831.40
2012-01-21,29.1,16.8,43828.39
2012-01-22,29.5,16.5,43825.31
2012-01-23,28.5,16.2,43822.15
2012-01-24,28.8,16.4,43818.92
2012-01-25,27.0,17.2,43815.62
2012-01-26,25.7,16.3,43812.27
2012-01-27,26.3,17.0,43808.85
2012-01-28,27.8,16.3,43805.39
2012-01-29,28.2,15.8,43801.88
2012-01-30,28.0,16.4,43798.33
2012-01-31,26.4,15.1,43794.75
2012-02-01,27.1,16.5,43791.13
2012-02-02,28.3,15.6,43787.49
2012-02-03,30.2,16.0,43783.83
2012-02-04,28.4,16.2,43780.14
2012-02-05,25.9,16.6,43776.44
2012-02-06,27.9,16.4,43772.69
2012-02-07,26.0,15.7,43768.88
2012-02-08,27.7,15.3,43765.01
2012-02-09,27.3,15.3,43761.10
2012-02-10,27.1,17.1,43757.14
2012-02-11,27.9,17.0,43753.15
2012-02-12,27.9,18.3,43749.13
2012-02-13,28.8,17.9,43745.08
2012-02-14,28.6,17.5,43741.00
2012-02-15,27.6,16.8,43736.91
2012-02-16,26.5,17.4,43732.81
2012-02-17,27.0,17.4,43728.69
2012-02-18,28.1,16.6,43724.58
2012-02-19,28.1,17.2,43720.46
2012-02-20,28.8,17.7,43716.34
2012-02-21,29.8,18.2,43712.23
2012-02-22,27.8,18.3,43708.13
2012-02-23,27.4,17.6,43704.04
2012-02-24,28.3,16.0,43699.98
2012-02-25,29.5,15.3,43695.93
2012-02-26,29.1,17.4,43691.86
2012-02-27,29.4,17.6,43687.78
2012-02-28,27.8,17.7,43683.68
