Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-03-2024,,,,,,,,,,,,,,
Comunidades autónomas,Región de Murcia,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024
Demanda,"742370,159","719438,225","728846,334","650162,323","650823,432","674219,766","923073,878","868619,661","727862,888","720221,348","692047,691","770388,18","770319,965","712002,728","741521,601"
 ,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 31/03/2024,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fecha exportación,15/08/2024 - 14:52:15,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,
