latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-1.6520212,42.82316,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,26.2,25.9,43971.76
2011-01-02,26.2,25.4,43970.13
2011-01-03,26.1,25.7,43968.32
2011-01-04,26.0,25.5,43966.36
2011-01-05,26.2,25.6,43964.25
2011-01-06,26.4,25.8,43961.98
2011-01-07,26.6,25.8,43959.57
2011-01-08,26.4,25.9,43957.02
2011-01-09,26.6,25.8,43954.34
2011-01-10,26.5,26.2,43951.52
2011-01-11,26.5,26.1,43948.59
2011-01-12,26.5,25.6,43945.52
2011-01-13,26.5,25.4,43942.35
2011-01-14,26.5,26.0,43939.06
2011-01-15,26.5,25.9,43935.68
2011-01-16,26.9,25.9,43932.19
2011-01-17,26.7,26.1,43928.61
2011-01-18,26.1,25.6,43924.94
2011-01-19,26.3,25.7,43921.18
2011-01-20,26.3,25.4,43917.35
2011-01-21,26.5,25.9,43913.43
2011-01-22,27.2,25.9,43909.39
2011-01-23,26.8,26.3,43905.23
2011-01-24,26.5,26.0,43900.95
2011-01-25,26.4,25.9,43896.56
2011-01-26,26.2,25.9,43892.06
2011-01-27,26.5,25.6,43887.47
2011-01-28,26.2,25.8,43882.79
2011-01-29,26.3,25.8,43878.02
2011-01-30,26.3,25.7,43873.18
2011-01-31,25.9,25.3,43868.27
2011-02-01,25.9,25.0,43863.30
2011-02-02,25.8,25.0,43858.28
2011-02-03,26.0,25.2,43853.21
2011-02-04,25.9,25.1,43848.09
2011-02-05,26.2,25.0,43842.94
2011-02-06,25.9,25.4,43837.76
2011-02-07,25.7,25.4,43832.55
2011-02-08,25.6,25.5,43827.33
2011-02-09,25.7,25.1,43822.09
2011-02-10,25.5,24.9,43816.84
2011-02-11,25.4,24.6,43811.52
2011-02-12,25.9,24.6,43806.14
2011-02-13,25.9,25.3,43800.70
2011-02-14,25.6,25.4,43795.20
2011-02-15,25.9,25.5,43789.65
2011-02-16,26.1,25.5,43784.07
2011-02-17,26.1,25.6,43778.45
2011-02-18,25.9,25.5,43772.79
2011-02-19,26.1,25.3,43767.11
