Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-03-2024,,,,,,,,,,,,,,
Comunidades autónomas,Comunidad de Navarra,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024
Demanda,"422325,788","386332,02","408551,382","352613,518","390877,629","390437,492","368183,839","357629,209","391096,365","401610,441","401328,292","378577,159","430139,226","409119,857","395654,222"
 ,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 31/03/2024,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fecha exportación,15/08/2024 - 14:57:25,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,
