Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2024T2;0,8024
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2024T1;0,8330
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2023T4;0,7148
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2023T3;0,5067
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2023T2;0,5020
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2023T1;0,4278
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2022T4;0,4913
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2022T3;0,5305
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2022T2;2,4864
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2022T1;0,2600
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2021T4;1,9888
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2021T3;2,3187
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2021T2;2,0936
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2021T1;0,3981
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2020T4;0,2411
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2020T3;16,2437
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2020T2;-17,6402
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2020T1;-5,3840
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2019T4;0,2171
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2019T3;0,2951
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2019T2;0,3461
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2019T1;0,6089
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2018T4;0,6594
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2018T3;0,5204
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2018T2;0,5859
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2018T1;0,4270
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2017T4;0,5393
Tipo de dato;Variación trimestral;Total Nacional;Total Nacional;SALDOS CONTABLES;Producto interior bruto a precios de mercado;Precios_SEC;Índices de volumen encadenados;Corrección de efectos;Datos ajustados de estacionalidad y calendario;2017T3;0,6296
