latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-2.7065027,42.833065,0.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,26.6,26.1,44187.48
2011-01-02,26.4,25.7,44184.98
2011-01-03,26.9,26.0,44182.21
2011-01-04,26.6,25.9,44179.20
2011-01-05,26.7,26.1,44175.95
2011-01-06,26.9,26.2,44172.47
2011-01-07,27.1,26.2,44168.77
2011-01-08,26.9,26.1,44164.85
2011-01-09,27.1,26.0,44160.71
2011-01-10,26.9,26.5,44156.39
2011-01-11,26.9,26.5,44151.87
2011-01-12,27.0,26.4,44147.16
2011-01-13,26.8,25.9,44142.27
2011-01-14,26.9,26.2,44137.21
2011-01-15,27.0,26.4,44132.00
2011-01-16,27.0,26.1,44126.62
2011-01-17,27.1,26.3,44121.10
2011-01-18,26.7,26.1,44115.44
2011-01-19,26.5,25.8,44109.64
2011-01-20,26.5,25.7,44103.71
2011-01-21,26.7,26.2,44097.66
2011-01-22,27.2,26.1,44091.42
2011-01-23,27.1,26.6,44084.98
2011-01-24,26.8,26.3,44078.35
2011-01-25,26.8,26.1,44071.55
2011-01-26,26.6,26.1,44064.58
2011-01-27,26.8,25.9,44057.46
2011-01-28,26.5,26.1,44050.20
2011-01-29,26.5,25.9,44042.79
2011-01-30,26.6,26.0,44035.28
2011-01-31,26.4,25.6,44027.64
2011-02-01,25.9,25.5,44019.91
2011-02-02,26.1,25.5,44012.09
2011-02-03,26.2,25.5,44004.18
2011-02-04,26.6,25.6,43996.20
2011-02-05,26.5,25.2,43988.16
2011-02-06,26.2,25.8,43980.06
2011-02-07,26.1,25.8,43971.92
2011-02-08,26.1,25.9,43963.75
2011-02-09,26.1,25.6,43955.54
2011-02-10,26.1,25.4,43947.31
2011-02-11,26.1,25.2,43938.98
2011-02-12,26.7,25.2,43930.53
2011-02-13,26.6,25.9,43921.97
2011-02-14,26.5,26.0,43913.32
2011-02-15,26.8,26.3,43904.59
2011-02-16,26.9,26.1,43895.79
2011-02-17,26.9,26.4,43886.91
2011-02-18,26.5,26.0,43877.99
2011-02-19,26.7,25.8,43869.00
2011-02-20,26.5,26.2,43859.99
2011-02-21,26.6,26.1,43850.95
2011-02-22,26.8,26.0,43841.87
2011-02-23,26.5,25.5,43832.79
2011-02-24,25.8,25.1,43823.70
2011-02-25,26.2,25.5,43814.61
2011-02-26,26.4,25.9,43805.54
2011-02-27,26.9,26.0,43796.48
2011-02-28,26.4,26.0,43787.44
2011-03-01,26.5,26.0,43778.44
2011-03-02,26.5,26.0,43769.46
2011-03-03,27.4,26.0,43760.45
2011-03-04,27.1,26.6,43751.38
2011-03-05,26.9,26.1,43742.28
2011-03-06,27.2,26.4,43733.13
2011-03-07,27.2,26.6,43723.96
2011-03-08,26.9,26.2,43714.77
2011-03-09,27.0,26.0,43705.56
2011-03-10,26.8,26.1,43696.35
2011-03-11,27.0,26.1,43687.14
2011-03-12,26.9,26.0,43677.93
2011-03-13,27.1,26.4,43668.74
2011-03-14,27.2,26.5,43659.56
2011-03-15,27.2,26.5,43650.41
2011-03-16,27.1,26.4,43641.29
2011-03-17,27.4,26.9,43632.21
2011-03-18,27.4,26.8,43623.18
2011-03-19,27.2,26.5,43614.19
2011-03-20,27.3,26.8,43605.26
2011-03-21,27.4,26.8,43596.40
2011-03-22,27.6,26.5,43587.59
2011-03-23,28.3,27.6,43578.78
2011-03-24,28.6,27.8,43569.96
2011-03-25,28.5,27.9,43561.14
2011-03-26,28.4,27.9,43552.32
2011-03-27,28.8,27.8,43543.50
2011-03-28,28.8,28.0,43534.70
2011-03-29,28.9,28.1,43525.91
2011-03-30,28.5,27.8,43517.15
2011-03-31,28.3,28.0,43508.42
2011-04-01,28.4,27.8,43499.72
2011-04-02,28.5,27.8,43491.06
2011-04-03,28.4,27.9,43482.45
2011-04-04,28.4,27.6,43473.89
2011-04-05,28.2,27.6,43465.39
2011-04-06,28.8,27.9,43456.95
2011-04-07,28.5,27.0,43448.58
2011-04-08,28.1,25.6,43440.29
2011-04-09,28.4,27.3,43432.07
2011-04-10,28.2,27.4,43423.95
2011-04-11,29.0,27.8,43415.90
2011-04-12,29.6,28.5,43407.89
2011-04-13,28.7,28.0,43399.89
2011-04-14,28.4,27.1,43391.92
2011-04-15,28.5,27.5,43383.98
2011-04-16,28.2,27.2,43376.08
2011-04-17,28.2,27.0,43368.21
2011-04-18,28.5,27.5,43360.39
2011-04-19,28.4,27.3,43352.62
2011-04-20,28.6,27.3,43344.91
2011-04-21,28.5,26.9,43337.27
2011-04-22,28.5,27.9,43329.70
2011-04-23,28.4,26.5,43322.19
2011-04-24,28.6,27.6,43314.77
2011-04-25,28.4,27.0,43307.43
2011-04-26,28.5,27.8,43300.18
2011-04-27,28.5,27.5,43293.04
2011-04-28,28.5,27.4,43285.98
2011-04-29,28.4,26.6,43279.05
2011-04-30,28.4,26.2,43272.23
2011-05-01,28.2,26.2,43265.52
2011-05-02,28.0,26.4,43258.88
2011-05-03,27.1,26.0,43252.30
2011-05-04,27.4,25.4,43245.77
2011-05-05,27.5,25.5,43239.31
2011-05-06,27.2,25.6,43232.92
2011-05-07,27.5,25.9,43226.61
2011-05-08,27.6,26.1,43220.38
2011-05-09,28.1,26.8,43214.24
2011-05-10,28.1,27.5,43208.20
2011-05-11,27.8,27.3,43202.25
2011-05-12,27.9,26.6,43196.40
2011-05-13,27.9,26.0,43190.67
2011-05-14,27.9,26.9,43185.05
2011-05-15,28.4,26.0,43179.55
2011-05-16,26.4,25.9,43174.18
2011-05-17,27.9,26.5,43168.94
2011-05-18,27.5,26.2,43163.84
2011-05-19,27.5,27.1,43158.89
2011-05-20,27.3,26.9,43154.09
2011-05-21,27.5,27.0,43149.43
2011-05-22,27.5,26.5,43144.89
2011-05-23,27.5,26.5,43140.46
2011-05-24,27.8,27.1,43136.13
2011-05-25,27.5,26.7,43131.92
2011-05-26,27.3,25.8,43127.83
2011-05-27,27.5,26.2,43123.86
2011-05-28,27.4,26.9,43120.01
2011-05-29,27.5,26.5,43116.30
2011-05-30,27.5,26.6,43112.71
2011-05-31,27.5,27.1,43109.27
2011-06-01,27.2,26.6,43105.96
2011-06-02,27.6,25.5,43102.80
2011-06-03,27.1,25.5,43099.79
2011-06-04,27.2,25.9,43096.93
2011-06-05,27.1,26.8,43094.23
2011-06-06,27.3,26.5,43091.69
