Título,EVOLUCIÓN DE LA DEMANDA  (B.C.)_01-01-2023_31-03-2024,,,,,,,,,,,,,,
Comunidades autónomas,País Vasco,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fecha,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024
Demanda,"1361229,433","1297956,77","1377941,18","1162464,089","1288668,423","1268487,218","1173323,223","964746,611","1226761,003","1278592,125","1315832,609","1200276,748","1356103,107","1306333,827","1328613,891"
 ,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,
 ,Definitivo: 01/01/2023 - 30/06/2023,,,,,,,,,,,,,,
 ,Provisional: 01/07/2023 - 31/03/2024,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fecha exportación,15/08/2024 - 15:01:28,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,
