latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-0.38664323,39.476154,255.0,7200,Europe/Berlin,CEST

time,temperature_2m_max (°C),temperature_2m_min (°C),daylight_duration (s)
2011-01-01,33.6,23.0,43713.44
2011-01-02,34.2,23.0,43712.86
2011-01-03,33.5,23.4,43712.21
2011-01-04,34.2,23.0,43711.50
2011-01-05,34.8,23.4,43710.74
2011-01-06,35.3,23.2,43709.93
2011-01-07,34.4,22.8,43709.07
2011-01-08,34.4,21.6,43708.16
2011-01-09,34.2,22.1,43707.20
2011-01-10,34.6,23.1,43706.20
2011-01-11,35.5,23.8,43705.16
2011-01-12,33.6,23.8,43704.07
2011-01-13,34.0,23.7,43702.95
2011-01-14,34.6,22.3,43701.79
2011-01-15,34.5,22.6,43700.60
2011-01-16,34.9,22.5,43699.38
2011-01-17,35.3,22.9,43698.12
2011-01-18,33.7,22.7,43696.84
2011-01-19,34.4,22.0,43695.52
2011-01-20,34.4,22.6,43694.20
2011-01-21,34.6,23.0,43692.83
2011-01-22,34.1,23.4,43691.44
2011-01-23,35.1,24.3,43690.00
2011-01-24,35.1,24.3,43688.54
2011-01-25,35.2,20.8,43687.03
2011-01-26,35.7,21.2,43685.49
2011-01-27,35.0,21.2,43683.93
2011-01-28,33.7,23.7,43682.34
2011-01-29,36.0,23.6,43680.73
2011-01-30,36.4,24.4,43679.11
2011-01-31,35.0,24.0,43677.46
2011-02-01,34.8,22.9,43675.80
2011-02-02,35.3,22.7,43674.13
2011-02-03,35.8,22.9,43672.46
2011-02-04,34.1,23.4,43670.77
2011-02-05,35.3,22.5,43669.08
2011-02-06,36.2,21.8,43667.39
2011-02-07,36.1,21.2,43665.70
2011-02-08,36.3,21.5,43664.01
2011-02-09,35.8,22.3,43662.32
2011-02-10,36.1,22.5,43660.64
2011-02-11,37.1,22.6,43658.95
2011-02-12,36.6,22.7,43657.25
2011-02-13,35.6,23.9,43655.53
2011-02-14,36.1,25.2,43653.81
2011-02-15,36.4,25.4,43652.08
2011-02-16,34.3,24.5,43650.35
2011-02-17,35.5,24.3,43648.62
2011-02-18,35.9,24.4,43646.89
2011-02-19,36.6,23.7,43645.16
2011-02-20,34.9,22.2,43643.44
2011-02-21,35.1,23.3,43641.73
2011-02-22,35.6,23.5,43640.02
2011-02-23,35.3,22.9,43638.33
2011-02-24,34.3,23.0,43636.65
2011-02-25,35.5,23.4,43634.99
2011-02-26,35.2,23.1,43633.33
2011-02-27,32.6,23.1,43631.70
2011-02-28,33.9,22.5,43630.08
2011-03-01,34.6,23.3,43628.49
2011-03-02,35.7,23.2,43626.91
2011-03-03,35.5,23.4,43625.34
2011-03-04,35.1,23.7,43623.78
2011-03-05,35.2,23.3,43622.23
2011-03-06,35.2,22.9,43620.68
2011-03-07,35.3,22.6,43619.14
2011-03-08,36.8,22.7,43617.62
2011-03-09,36.9,23.0,43616.11
2011-03-10,36.2,22.7,43614.61
2011-03-11,35.3,23.3,43613.13
2011-03-12,35.8,24.0,43611.67
2011-03-13,36.0,24.1,43610.22
2011-03-14,35.2,24.4,43608.80
2011-03-15,36.0,24.0,43607.39
2011-03-16,35.0,24.2,43606.01
2011-03-17,34.2,24.3,43604.65
2011-03-18,35.4,25.0,43603.31
2011-03-19,34.6,24.5,43601.99
2011-03-20,35.5,25.2,43600.70
2011-03-21,35.7,24.4,43599.43
2011-03-22,36.2,24.7,43598.19
2011-03-23,36.3,25.3,43596.96
2011-03-24,35.5,25.7,43595.75
2011-03-25,36.7,25.4,43594.56
2011-03-26,35.9,25.5,43593.38
2011-03-27,34.7,25.1,43592.21
2011-03-28,36.2,25.1,43591.07
2011-03-29,35.3,26.1,43589.95
2011-03-30,36.1,25.4,43588.84
2011-03-31,34.4,25.6,43587.75
2011-04-01,34.6,24.2,43586.68
2011-04-02,35.5,25.1,43585.64
2011-04-03,34.4,25.6,43584.61
2011-04-04,33.7,24.4,43583.61
2011-04-05,36.1,24.4,43582.64
2011-04-06,35.2,24.3,43581.68
2011-04-07,36.7,24.8,43580.75
2011-04-08,35.4,24.5,43579.84
